Rk,Player,Nation,Pos,Squad,Age,Born,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att,Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Matches
1,Max Anchor,ca CAN,GK,Vancouver,17-346,2004,1,2,0,0,0,0,2.5,0.41,0.5,0.49,2,4,50,14,5,28.6,29.1,2,0,15,11,0,0,0,0,10.4,Matches
2,David Bingham,us USA,GK,Portland Timbers,32-256,1989,1,1,0,0,1,0,1.1,0.27,0.1,0.08,5,35,14.3,31,3,77.4,55.9,11,100,66.9,13,0,0,0,0,9.8,Matches
3,Andre Blake,jm JAM,GK,Philadelphia,31-223,1990,17,13,3,0,2,0,15,0.2,2,0.12,118,304,38.8,347,62,53.9,42,151,77.5,54.5,179,16,8.9,15,0.88,14.1,Matches
4,Jonathan Bond,eng ENG,GK,LA Galaxy,29-044,1993,16,19,1,1,2,0,18.4,0.31,-0.6,-0.04,93,205,45.4,470,85,31.3,31.4,105,55.2,43.1,126,9,7.1,19,1.19,17,Matches
5,Alex Bono,us USA,GK,Toronto FC,28-068,1994,14,27,1,0,3,0,29.9,0.36,2.9,0.21,68,249,27.3,408,94,44.4,37.3,138,49.3,41.4,128,4,3.1,18,1.29,15.4,Matches
6,Sebastian Breza,ca CAN,GK,CF Montréal,24-109,1998,17,29,2,1,6,1,23.9,0.35,-4.1,-0.24,63,130,48.5,348,70,24.4,28.2,123,36.6,30.7,108,8,7.4,7,0.41,13.7,Matches
7,Drake Callender,us USA,GK,Inter Miami,24-268,1997,8,10,0,0,1,0,13.6,0.3,3.6,0.45,37,106,34.9,212,51,36.3,35,68,42.6,38.5,75,4,5.3,0,0,10.3,Matches
8,Roman Celentano,us USA,GK,FC Cincinnati,21-291,2000,10,16,1,0,5,0,15.7,0.32,-0.3,-0.03,50,140,35.7,173,43,48.6,40.9,88,63.6,48.7,96,7,7.3,5,0.5,12.6,Matches
9,Steve Clark,us USA,GK,Houston Dynamo,36-079,1986,16,18,2,0,4,0,20.5,0.28,2.5,0.15,85,211,40.3,475,87,29.3,31.4,136,52.9,42.6,148,5,3.4,8,0.5,11.7,Matches
10,Stefan Cleveland,us USA,GK,Seattle,28-038,1994,3,4,0,0,1,0,5.8,0.34,1.8,0.6,9,38,23.7,74,15,31.1,32.8,38,39.5,34.7,22,1,4.5,1,0.33,12.4,Matches
