Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches
1,Max Anchor,ca CAN,GK,Vancouver,17-346,2004,1,1,90,1,2,2,6,4,66.7,0,0,1,0,0,0,0,0,0,,Matches
2,David Bingham,us USA,GK,Portland Timbers,32-256,1989,1,1,90,1,1,1,4,3,75,0,1,0,0,0,0,0,0,0,,Matches
3,Andre Blake,jm JAM,GK,Philadelphia,31-223,1990,17,17,"1,530",17,13,0.76,63,52,84.1,7,8,2,6,35.3,3,3,0,0,0,Matches
4,Jonathan Bond,eng ENG,GK,LA Galaxy,29-044,1993,16,16,"1,440",16,19,1.19,58,40,69,7,3,6,5,31.3,1,1,0,0,0,Matches
5,Alex Bono,us USA,GK,Toronto FC,28-068,1994,14,14,"1,260",14,27,1.93,82,56,68.3,3,3,8,0,0,1,1,0,0,0,Matches
6,Sebastian Breza,ca CAN,GK,CF MontrÃ©al,24-109,1998,17,17,"1,530",17,29,1.71,63,37,57.1,9,2,6,1,5.9,2,2,0,0,0,Matches
7,Drake Callender,us USA,GK,Inter Miami,24-268,1997,8,8,720,8,10,1.25,45,35,77.8,3,2,3,2,25,1,0,0,1,,Matches
8,Roman Celentano,us USA,GK,FC Cincinnati,21-291,2000,10,10,900,10,16,1.6,44,29,65.9,5,2,3,3,30,2,1,1,0,50,Matches
9,Steve Clark,us USA,GK,Houston Dynamo,36-079,1986,16,16,"1,440",16,18,1.13,69,53,76.8,6,3,7,5,31.3,2,2,0,0,0,Matches
10,Stefan Cleveland,us USA,GK,Seattle,28-038,1994,3,3,270,3,4,1.33,17,13,76.5,0,1,2,0,0,0,0,0,0,,Matches
11,Carlos Coronel,br BRA,GK,NY Red Bulls,25-185,1996,17,17,"1,530",17,18,1.06,52,34,67.3,8,5,4,4,23.5,1,1,0,0,0,Matches
12,Maxime CrÃ©peau,ca CAN,GK,Los Angeles FC,28-052,1994,16,16,"1,440",16,16,1,46,31,65.2,11,3,2,5,31.3,0,0,0,0,,Matches
13,Cody Cropper,us USA,GK,Vancouver,29-136,1993,8,7,651,7.2,9,1.24,24,16,66.7,4,2,1,4,57.1,1,1,0,0,0,Matches
14,ClÃ©ment Diop,sn SEN,GK,Inter Miami,28-263,1993,3,3,270,3,7,2.33,12,5,41.7,0,1,2,1,33.3,0,0,0,0,,Matches
15,Earl Edwards Jr.,us USA,GK,New England,30-159,1992,4,4,360,4,8,2,17,9,52.9,1,1,2,1,25,0,0,0,0,,Matches
16,Stefan Frei,ch SUI,GK,Seattle,36-073,1986,13,13,"1,170",13,15,1.15,49,35,73.5,7,1,5,3,23.1,2,2,0,0,0,Matches
17,Pedro Gallese,pe PER,GK,Orlando City,32-129,1990,16,16,"1,440",16,22,1.37,65,45,70.8,7,3,6,6,37.5,3,3,0,0,0,Matches
18,Brad Guzan,us USA,GK,Atlanta Utd,37-296,1984,7,7,612,6.8,9,1.32,22,14,63.6,3,2,2,2,28.6,1,1,0,0,0,Matches
19,Bill Hamid,us USA,GK,D.C. United,31-219,1990,10,10,858,9.5,16,1.68,49,34,67.3,3,2,5,3,30,0,0,0,0,,Matches
20,Thomas Hasal,ca CAN,GK,Vancouver,22-358,1999,9,9,789,8.8,17,1.94,42,26,61.9,2,1,6,3,33.3,2,1,1,0,50,Matches
21,AljaÅ¾ IvaÄiÄ,si SVN,GK,Portland Timbers,28-185,1993,17,17,"1,530",17,26,1.53,79,54,68.4,5,6,6,4,23.5,2,1,1,0,50,Matches
22,Sean Johnson,us USA,GK,NYCFC,33-032,1989,16,16,"1,440",16,17,1.06,54,37,68.5,8,4,4,8,50,0,0,0,0,,Matches
23,Kristijan Kahlina,hr CRO,GK,Charlotte FC,29-343,1992,17,17,"1,530",17,20,1.18,71,54,76.1,6,2,9,5,29.4,3,3,0,0,0,Matches
24,Alec Kann,us USA,GK,FC Cincinnati,31-328,1990,7,7,630,7,14,2,31,20,61.3,2,1,4,1,14.3,3,2,1,0,33.3,Matches
25,Jon Kempin,us USA,GK,D.C. United,29-085,1993,2,2,180,2,5,2.5,11,6,54.5,1,0,1,0,0,0,0,0,0,,Matches
26,Brad Knighton,us USA,GK,New England,37-146,1985,4,4,360,4,8,2,20,13,60,1,0,3,0,0,0,0,0,0,,Matches
27,Zac MacMath,us USA,GK,Real Salt Lake,30-329,1991,17,17,"1,530",17,19,1.12,79,62,79.7,8,5,4,7,41.2,3,3,0,0,0,Matches
28,J.T. Marcinkowski,us USA,GK,San Jose,25-054,1997,16,16,"1,440",16,34,2.12,89,59,66.3,3,6,7,2,12.5,4,4,0,0,0,Matches
29,George Marks,us USA,GK,Charlotte FC,22-234,1999,1,1,90,1,2,2,3,1,33.3,0,0,1,0,0,0,0,0,0,,Matches
30,Nick Marsman,nl NED,GK,Inter Miami,31-274,1990,5,5,450,5,8,1.6,22,16,72.7,3,0,2,1,20,2,2,0,0,0,Matches
31,Jimmy Maurer,us USA,GK,FC Dallas,33-261,1988,2,2,180,2,3,1.5,7,4,71.4,1,0,1,0,0,1,1,0,0,0,Matches
32,John McCarthy,us USA,GK,Los Angeles FC,29-363,1992,1,1,90,1,2,2,4,4,100,0,0,1,0,0,2,2,0,0,0,Matches
33,Ryan Meara,us USA,GK,NY Red Bulls,31-229,1990,1,1,90,1,2,2,6,4,66.7,0,0,1,0,0,0,0,0,0,,Matches
34,Tim Melia,us USA,GK,Sporting KC,36-048,1986,18,18,"1,620",18,32,1.78,68,38,55.9,4,4,10,4,22.2,3,2,1,0,33.3,Matches
35,Tyler Miller,us USA,GK,Minnesota Utd,29-112,1993,2,2,180,2,2,1,8,5,75,0,2,0,0,0,0,0,0,0,,Matches
36,Michael Nelson,us USA,GK,Houston Dynamo,27-142,1995,1,1,90,1,3,3,6,3,50,0,0,1,0,0,0,0,0,0,,Matches
37,Maarten Paes,nl NED,GK,FC Dallas,24-049,1998,15,15,"1,350",15,17,1.13,49,34,69.4,6,5,4,4,26.7,2,2,0,0,0,Matches
38,Elliot Panicco,us USA,GK,Nashville,25-226,1996,1,1,90,1,1,1,4,3,75,1,0,0,0,0,0,0,0,0,,Matches
39,ÄorÄ‘e PetroviÄ‡,rs SRB,GK,New England,22-267,1999,4,4,360,4,3,0.75,18,15,88.9,2,2,0,1,25,1,1,0,0,0,Matches
40,Rocco RÃ­os Novo,ar ARG,GK,Atlanta Utd,20-028,2002,3,3,270,3,4,1.33,9,6,66.7,1,0,2,1,33.3,1,1,0,0,0,Matches
41,Abraham Rodriguez,us USA,GK,Colorado Rapids,19-348,2002,1,0,46,0.5,3,5.87,4,2,50,,,,0,,1,1,0,0,0,Matches
42,Rafael Romo,ve VEN,GK,D.C. United,32-127,1990,4,3,312,3.5,6,1.73,18,13,72.2,0,0,3,1,33.3,1,1,0,0,0,Matches
43,Eloy Room,cw CUW,GK,Columbus Crew,33-146,1989,16,16,"1,440",16,16,1,62,45,75.8,5,6,5,4,25,1,1,0,0,0,Matches
44,Bobby Shuttleworth,us USA,GK,Atlanta Utd,35-050,1987,7,6,558,6.2,9,1.45,21,10,57.1,1,2,3,1,16.7,0,0,0,0,,Matches
45,Gabriel Slonina,us USA,GK,Chicago Fire,18-048,2004,17,17,"1,530",17,22,1.29,48,30,62.5,4,5,8,7,41.2,4,4,0,0,0,Matches
46,Dayne St. Clair,ca CAN,GK,Minnesota Utd,25-054,1997,15,15,"1,350",15,19,1.27,75,58,78.7,6,1,8,3,20,4,3,1,0,25,Matches
47,Mason Stajduhar,us USA,GK,Orlando City,24-212,1997,1,1,90,1,1,1,2,2,100,0,1,0,0,0,1,1,0,0,0,Matches
48,Brad Stuver,us USA,GK,Austin FC,31-077,1991,15,15,"1,268",14.1,17,1.21,61,45,75.4,9,4,2,5,33.3,3,2,1,0,33.3,Matches
49,Andrew Tarbell,us USA,GK,Austin FC,28-268,1993,3,2,262,2.9,3,1.03,14,11,78.6,0,0,2,0,0,0,0,0,0,,Matches
50,Matt Turner,us USA,GK,New England,28-008,1994,5,5,450,5,7,1.4,15,8,53.3,2,3,0,1,20,0,0,0,0,,Matches
51,Quentin Westberg,us USA,GK,Toronto FC,36-068,1986,3,3,270,3,5,1.67,15,10,66.7,2,0,1,0,0,0,0,0,0,,Matches
