Performance,Performance,Performance,Performance,Performance,Performance,,,,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches,-9999
1,Paxten Aaronson,us USA,FWMF,Philadelphia,18-310,2003,2.1,1,0,0,7,8,1,2,2,5,0,0,0,18,3,4,42.9,Matches,4cd41883
2,Lalas Abubakar,gh GHA,DF,Colorado Rapids,27-189,1994,14.0,5,0,0,26,6,0,2,32,14,0,1,0,128,51,24,68.0,Matches,4a67f05b
3,Nicolás Acevedo,uy URU,MFDF,NYCFC,23-079,1999,11.5,4,0,0,20,14,1,18,37,21,0,0,0,129,18,8,69.2,Matches,6140be7b
4,Ifunanyachi Achara,us USA,FWMF,Toronto FC,24-277,1997,2.6,1,0,0,5,3,0,4,7,4,0,0,0,21,6,8,42.9,Matches,d31bf83e
5,Bryan Acosta,hn HON,MF,Colorado Rapids,28-220,1993,7.6,5,0,0,22,10,0,6,10,14,0,0,0,62,10,3,76.9,Matches,c5f400f4
6,George Acosta,us USA,MF,Inter Miami,22-164,2000,0.1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,,Matches,409d5b26
7,Kellyn Acosta,us USA,MFDF,Los Angeles FC,26-343,1995,14.2,4,0,0,22,11,0,16,15,10,0,0,0,102,9,13,40.9,Matches,ece10cfe
8,Luciano Acosta,ar ARG,MF,FC Cincinnati,28-032,1994,15.1,3,0,0,24,37,7,44,17,20,0,0,0,113,3,9,25.0,Matches,363ba6d7
9,Mo Adams,eng ENG,MF,Inter Miami,25-282,1996,3.9,3,0,0,9,10,0,0,9,11,0,0,0,31,0,4,0.0,Matches,00362ef7
10,Samuel Adeniran,us USA,FWMF,Seattle,23-275,1998,0.8,0,0,0,2,0,0,2,1,0,0,0,0,7,2,2,50.0,Matches,86429529
11,Harrison Afful,gh GHA,DFMF,Charlotte FC,35-343,1986,4.8,2,0,0,8,3,1,9,9,3,0,0,0,52,8,7,53.3,Matches,7d8ede09
12,Oskar Ågren,se SWE,DF,San Jose,23-295,1998,1.0,0,0,0,1,1,0,0,3,0,0,0,0,13,7,1,87.5,Matches,5ad77e97
13,Daniel Aguirre,us USA,MFFW,LA Galaxy,23-000,1999,1.4,0,0,0,1,2,0,2,3,0,0,0,0,12,5,1,83.3,Matches,ecc5063f
14,Ali Ahmed,ca CAN,DF,Vancouver,21-265,2000,0.4,0,0,0,0,2,0,0,1,0,0,0,0,1,0,0,,Matches,540a5be1
15,Arnaud Ake,ci CIV,FW,Nashville,24-092,1998,3.0,0,0,0,9,4,5,1,2,1,0,0,0,13,5,6,45.5,Matches,3402bb17
16,Tesho Akindele,ca CAN,FW,Orlando City,30-093,1992,2.6,0,0,0,5,2,1,5,4,2,0,0,0,10,13,14,48.1,Matches,897304e5
17,Ayo Akinola,ca CAN,FW,Toronto FC,22-163,2000,5.1,1,0,0,7,7,2,5,0,3,0,0,0,18,13,17,43.3,Matches,214d2406
18,Jordy Alcivar,ec ECU,MF,Charlotte FC,22-331,1999,9.9,4,0,0,7,8,0,17,15,6,0,0,0,80,3,10,23.1,Matches,6e98c19f
19,Caio Alexandre,br BRA,MF,Vancouver,23-128,1999,0.7,2,0,0,3,1,0,0,1,0,0,0,0,3,0,0,,Matches,08ac23b7
20,Tony Alfaro,us USA,DF,D.C. United,29-017,1993,3.2,1,0,0,8,3,0,1,4,1,0,0,1,43,18,5,78.3,Matches,4118b12a
21,Noah Allen,us USA,DFMF,Inter Miami,18-065,2004,3.5,0,0,0,1,2,0,10,6,5,0,0,0,22,1,6,14.3,Matches,043f389a
22,Thiago Almada,ar ARG,FWMF,Atlanta Utd,21-067,2001,9.9,2,1,0,7,11,0,12,7,5,0,0,0,65,0,1,0.0,Matches,27f33438
23,Osvaldo Alonso,cu CUB,MF,Atlanta Utd,36-233,1985,3.7,2,0,0,9,7,0,1,6,4,0,0,0,32,3,1,75.0,Matches,8449bfda
24,Jozy Altidore,us USA,FW,New England,32-238,1989,5.5,1,0,0,6,4,3,3,2,2,0,0,0,23,8,7,53.3,Matches,8db8ad1e
25,Efrain Alvarez,mx MEX,FWMF,LA Galaxy,20-013,2002,10.0,1,0,0,7,7,0,22,6,3,1,0,0,54,2,9,18.2,Matches,3cd08ab7
26,Luis Amarilla,py PAR,FW,Minnesota Utd,26-311,1995,10.7,2,0,0,7,17,7,6,5,3,0,0,0,42,18,37,32.7,Matches,fa66adb6
27,Frankie Amaya,us USA,MF,NY Red Bulls,21-279,2000,16.2,3,1,1,24,15,0,14,34,36,0,0,0,174,16,14,53.3,Matches,2e8bd00c
28,Mikey Ambrose,us USA,DF,Atlanta Utd,28-270,1993,0.5,0,0,0,1,0,0,1,0,1,0,0,0,4,0,1,0.0,Matches,f649d6aa
29,Malte Amundsen,dk DEN,DF,NYCFC,24-141,1998,10.6,1,0,0,13,4,0,33,20,14,0,0,0,105,9,11,45.0,Matches,83b6e15d
30,Max Anchor,ca CAN,GK,Vancouver,17-346,2004,1.0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,,Matches,d6aa8848
31,Sebastian Anderson,us USA,DF,Colorado Rapids,19-328,2002,0.1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,3,0.0,Matches,3a9911ce
32,José Andrés Martínez,ve VEN,MF,Philadelphia,27-329,1994,15.6,8,1,1,20,25,0,7,42,26,0,1,0,203,15,19,44.1,Matches,c8364e8e
33,Jalil Anibaba,us USA,DF,Columbus Crew,33-256,1988,0.9,1,0,0,1,1,0,0,0,1,0,0,0,8,3,1,75.0,Matches,e44593b0
34,Themi Antonoglou,ca CAN,DF,Toronto FC,21-030,2001,0.1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,,Matches,b137ee51
35,Brian Anunga,cm CMR,MF,Nashville,25-326,1996,5.7,2,0,0,12,1,0,4,15,11,0,0,0,61,5,3,62.5,Matches,17b28ec7
36,Cristian Arango,co COL,FW,Los Angeles FC,27-115,1995,11.8,3,0,0,20,24,2,16,3,4,0,0,0,46,26,31,45.6,Matches,fea9401e
37,César Araujo,uy URU,MF,Orlando City,21-091,2001,14.4,4,1,0,23,51,0,2,23,22,0,0,0,155,12,8,60.0,Matches,3ed214ff
38,Julian Araujo,mx MEX,DF,LA Galaxy,20-323,2001,13.9,1,0,0,23,11,0,36,33,21,0,1,0,132,22,25,46.8,Matches,8f4541c2
39,Luiz Araújo,br BRA,FW,Atlanta Utd,26-030,1996,8.5,2,0,0,15,23,1,28,5,10,0,0,0,51,2,9,18.2,Matches,fa18c72e
40,Daniel Armando Ríos,mx MEX,FW,Charlotte FC,27-130,1995,10.5,1,0,0,13,22,2,5,2,8,0,0,0,35,35,47,42.7,Matches,078b2c07
41,Adam Armour,us USA,MF,Charlotte FC,19-278,2002,0.9,1,0,0,2,2,0,0,1,1,0,0,0,7,6,2,75.0,Matches,546c2c25
42,Xavier Arreaga,ec ECU,DF,Seattle,27-277,1994,12.1,2,0,0,8,4,1,0,33,7,0,0,0,66,19,19,50.0,Matches,7f2b7640
43,Kervin Arriaga,hn HON,MF,Minnesota Utd,24-178,1998,13.0,5,0,0,23,27,3,1,16,11,0,0,0,148,43,22,66.2,Matches,4f8a9f70
44,Paul Arriola,us USA,FW,FC Dallas,27-147,1995,14.9,2,0,0,17,18,8,47,8,9,1,0,0,69,13,17,43.3,Matches,1bb2acce
45,Artur,br BRA,MF,Columbus Crew,26-113,1996,12.0,4,0,0,20,11,2,5,29,19,0,0,0,129,9,10,47.4,Matches,ea6803c7
46,Dairon Asprilla,co COL,FWMF,Portland Timbers,30-038,1992,9.5,3,0,0,19,20,5,14,9,10,0,0,0,59,21,24,46.7,Matches,218d336c
47,Isaac Atanga,gh GHA,FW,FC Cincinnati,21-338,2000,0.5,0,0,0,0,0,0,0,1,0,0,0,0,5,1,0,100.0,Matches,ff0f2a53
48,Joshua Atencio,us USA,MF,Seattle,20-152,2002,1.7,0,0,0,2,0,0,0,6,2,0,0,0,18,5,2,71.4,Matches,1f084637
49,Roberto Avila,us USA,FWMF,Houston Dynamo,21-259,2000,1.7,3,0,0,6,5,1,0,2,3,0,0,0,4,2,9,18.2,Matches,bb666b57
50,David Ayala,ar ARG,MF,Portland Timbers,19-341,2002,3.0,0,0,0,5,8,0,0,1,7,0,0,0,33,3,5,37.5,Matches,06dafc0e
51,Edison Azcona,do DOM,MF,Inter Miami,18-223,2003,0.2,1,0,0,3,0,0,1,1,1,0,0,0,0,0,0,,Matches,05f54837
52,Dominique Badji,sn SEN,FWDF,FC Cincinnati,29-259,1992,11.2,3,0,0,23,17,5,10,10,12,0,1,0,57,24,22,52.2,Matches,758ac389
53,Zico Bailey,us USA,DFMF,FC Cincinnati,21-309,2000,0.9,0,0,0,0,1,0,0,3,1,0,0,0,4,0,2,0.0,Matches,aa9e1161
54,Corey Baird,us USA,FWMF,Houston Dynamo,26-153,1996,7.5,1,0,0,5,8,4,11,11,7,0,0,0,44,4,13,23.5,Matches,2d0d1442
55,Reed Baker-Whiting,us USA,MF,Seattle,17-093,2005,1.0,0,0,0,0,1,0,1,1,0,0,0,0,2,1,2,33.3,Matches,816d7aec
56,Michael Baldisimo,ca CAN,MF,Vancouver,22-080,2000,3.5,1,0,0,12,4,0,1,3,8,0,0,0,34,2,4,33.3,Matches,894b41c5
57,Tom Barlow,us USA,FW,NY Red Bulls,26-359,1995,7.9,2,0,0,22,4,5,6,0,6,0,0,0,30,30,44,40.5,Matches,da4821de
58,Álvaro Barreal,ar ARG,FWDF,FC Cincinnati,21-319,2000,9.1,1,0,0,13,11,2,29,11,10,1,0,0,61,8,14,36.4,Matches,ffca53e1
59,Michael Barrios,co COL,FW,Colorado Rapids,31-072,1991,10.1,1,0,0,6,14,2,45,5,5,0,0,0,58,4,11,26.7,Matches,df782c79
60,Ethan Bartlow,us USA,DFMF,Houston Dynamo,22-150,2000,5.8,2,0,0,6,1,0,0,5,6,0,0,0,30,7,7,50.0,Matches,552898bd
