Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,Matches,-9999
1,Paxten Aaronson,us USA,FWMF,Philadelphia,18-309,2003,2.1,44,55,80,644,166,25,28,89.3,17,20,85,1,3,33.3,0,0.5,-0.5,1,3,1,0,5,Matches,4cd41883
2,Lalas Abubakar,gh GHA,DF,Colorado Rapids,27-188,1994,14,574,668,85.9,11558,4050,195,211,92.4,297,325,91.4,80,123,65,0,0.1,-0.1,2,36,3,1,32,Matches,4a67f05b
3,Nicolás Acevedo,uy URU,MFDF,NYCFC,23-078,1999,11.5,623,753,82.7,11972,3992,230,254,90.6,308,340,90.6,80,136,58.8,0,0.3,-0.3,6,42,10,1,63,Matches,6140be7b
4,Ifunanyachi Achara,us USA,FWMF,Toronto FC,24-276,1997,2.6,83,104,79.8,1126,219,51,61,83.6,24,29,82.8,3,5,60,0,0.1,-0.1,2,3,2,1,6,Matches,d31bf83e
5,Bryan Acosta,hn HON,MF,Colorado Rapids,28-219,1993,7.6,293,347,84.4,6545,1772,99,106,93.4,122,142,85.9,68,92,73.9,0,0.4,-0.4,10,30,3,0,29,Matches,c5f400f4
6,George Acosta,us USA,MF,Inter Miami,22-163,2000,0.1,6,8,75,116,42,1,2,50,4,4,100,1,2,50,0,0,0,0,0,0,0,1,Matches,409d5b26
7,Kellyn Acosta,us USA,MFDF,Los Angeles FC,26-342,1995,14.2,623,776,80.3,11189,3328,291,320,90.9,243,284,85.6,74,140,52.9,0,1.1,-1.1,17,51,19,0,83,Matches,ece10cfe
8,Luciano Acosta,ar ARG,MF,FC Cincinnati,28-031,1994,15.1,567,808,70.2,10189,3795,297,369,80.5,171,222,77,83,175,47.4,5,6.2,-1.2,50,64,36,6,93,Matches,363ba6d7
9,Mo Adams,eng ENG,MF,Inter Miami,25-281,1996,3.9,97,110,88.2,1633,334,45,49,91.8,42,46,91.3,8,10,80,0,0,0,0,6,0,0,8,Matches,00362ef7
10,Samuel Adeniran,us USA,FWMF,Seattle,23-274,1998,0.8,10,16,62.5,172,8,4,6,66.7,6,9,66.7,0,1,0,0,0,0,0,0,0,0,0,Matches,86429529
11,Harrison Afful,gh GHA,DFMF,Charlotte FC,35-342,1986,4.8,320,369,86.7,6280,2287,121,130,93.1,158,174,90.8,40,60,66.7,0,0,0,2,40,7,2,36,Matches,7d8ede09
12,Oskar Ågren,se SWE,DF,San Jose,23-294,1998,1,75,82,91.5,1694,343,18,23,78.3,40,41,97.6,17,18,94.4,0,0,0,0,2,0,0,3,Matches,5ad77e97
13,Daniel Aguirre,us USA,MFFW,LA Galaxy,22-364,1999,1.4,64,79,81,1289,424,26,30,86.7,28,32,87.5,9,14,64.3,1,0.7,0.3,1,7,2,1,8,Matches,ecc5063f
14,Ali Ahmed,ca CAN,DF,Vancouver,21-264,2000,0.4,12,12,100,276,23,2,2,100,7,7,100,3,3,100,0,0,0,1,0,0,0,0,Matches,540a5be1
15,Arnaud Ake,ci CIV,FW,Nashville,24-091,1998,3,39,56,69.6,647,137,15,21,71.4,19,26,73.1,3,4,75,0,0.5,-0.5,5,2,3,0,6,Matches,3402bb17
16,Tesho Akindele,ca CAN,FW,Orlando City,30-092,1992,2.6,60,75,80,1001,228,31,34,91.2,18,24,75,9,12,75,0,0.4,-0.4,2,5,3,1,6,Matches,897304e5
17,Ayo Akinola,ca CAN,FW,Toronto FC,22-162,2000,5.1,52,79,65.8,821,190,30,37,81.1,14,24,58.3,5,9,55.6,0,0.5,-0.5,3,6,2,1,6,Matches,214d2406
18,Jordy Alcivar,ec ECU,MF,Charlotte FC,22-330,1999,9.9,352,454,77.5,7165,1756,140,152,92.1,141,169,83.4,63,113,55.8,1,1.6,-0.6,22,36,4,2,19,Matches,6e98c19f
19,Caio Alexandre,br BRA,MF,Vancouver,23-127,1999,0.7,28,29,96.6,417,88,14,14,100,10,10,100,2,2,100,0,0,0,1,5,0,0,2,Matches,08ac23b7
20,Tony Alfaro,us USA,DF,D.C. United,29-016,1993,3.2,164,201,81.6,3843,1426,49,54,90.7,74,85,87.1,39,59,66.1,0,0,0,0,23,3,0,18,Matches,4118b12a
21,Noah Allen,us USA,DFMF,Inter Miami,18-064,2004,3.5,95,130,73.1,1580,624,49,55,89.1,39,55,70.9,5,15,33.3,0,0,0,0,6,2,0,6,Matches,043f389a
22,Thiago Almada,ar ARG,FWMF,Atlanta Utd,21-066,2001,9.9,468,567,82.5,8660,2316,206,233,88.4,187,217,86.2,61,92,66.3,2,2.5,-0.5,27,42,25,3,60,Matches,27f33438
23,Osvaldo Alonso,cu CUB,MF,Atlanta Utd,36-232,1985,3.7,211,239,88.3,4164,1042,91,96,94.8,85,93,91.4,31,42,73.8,0,0,0,1,30,1,1,17,Matches,8449bfda
24,Jozy Altidore,us USA,FW,New England,32-237,1989,5.5,109,145,75.2,1732,337,65,78,83.3,32,42,76.2,9,13,69.2,0,0.4,-0.4,5,5,5,1,10,Matches,8db8ad1e
25,Efrain Alvarez,mx MEX,FWMF,LA Galaxy,20-012,2002,10,380,484,78.5,6700,2388,191,215,88.8,131,164,79.9,49,88,55.7,1,2.1,-1.1,22,42,31,4,61,Matches,3cd08ab7
26,Luis Amarilla,py PAR,FW,Minnesota Utd,26-310,1995,10.7,193,255,75.7,2654,474,125,150,83.3,54,73,74,7,12,58.3,0,0.8,-0.8,9,12,11,1,16,Matches,fa66adb6
27,Frankie Amaya,us USA,MF,NY Red Bulls,21-278,2000,16.2,485,626,77.5,9506,3561,186,216,86.1,224,260,86.2,64,122,52.5,2,1.6,0.4,21,69,13,2,91,Matches,2e8bd00c
