ID,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls/90,Ast/90,G+A/90,G-PK/90,G+A-PK/90,xG,npxG,xA,npxG+xA,xG2,xA3,xG+xA,npxG4,npxG+xA5
1,Paxten Aaronson,us USA,FWMF,Philadelphia,18-309,2003,9,1,190,2.1,0,0,0,0,0,1,0,0,0,0,0,0,0.1,0.1,0.5,0.6,0.04,0.24,0.28,0.04,0.28
2,Lalas Abubakar,gh GHA,DF,Colorado Rapids,27-188,1994,15,15,1264,14,1,0,1,0,0,5,0,0.07,0,0.07,0.07,0.07,1.1,1.1,0.1,1.1,0.08,0,0.08,0.08,0.08
3,Nicolás Acevedo,uy URU,MFDF,NYCFC,23-078,1999,15,12,1034,11.5,0,0,0,0,0,4,0,0,0,0,0,0,0.3,0.3,0.3,0.6,0.02,0.03,0.05,0.02,0.05
4,Ifunanyachi Achara,us USA,FWMF,Toronto FC,24-276,1997,7,0,238,2.6,0,0,0,0,0,1,0,0,0,0,0,0,0.3,0.3,0.1,0.4,0.13,0.04,0.17,0.13,0.17
5,Bryan Acosta,hn HON,MF,Colorado Rapids,28-219,1993,11,8,688,7.6,0,0,0,0,0,5,0,0,0,0,0,0,0.4,0.4,0.4,0.9,0.06,0.05,0.11,0.06,0.11
6,George Acosta,us USA,MF,Inter Miami,22-163,2000,1,0,7,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,0.92,0,0.92,0.92,0.92
7,Kellyn Acosta,us USA,MFDF,Los Angeles FC,26-342,1995,17,14,1282,14.2,1,0,1,0,0,4,0,0.07,0,0.07,0.07,0.07,0.8,0.8,1.1,1.8,0.05,0.08,0.13,0.05,0.13
8,Luciano Acosta,ar ARG,MF,FC Cincinnati,28-031,1994,17,15,1356,15.1,6,5,4,2,3,3,0,0.4,0.33,0.73,0.27,0.6,6.1,3.8,6.2,10,0.41,0.41,0.82,0.25,0.67
9,Mo Adams,eng ENG,MF,Inter Miami,25-281,1996,8,5,354,3.9,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Samuel Adeniran,us USA,FWMF,Seattle,23-274,1998,2,1,73,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0,0.06,0.06,0.06
11,Harrison Afful,gh GHA,DFMF,Charlotte FC,35-342,1986,8,3,345,3.8,0,0,0,0,0,2,0,0,0,0,0,0,0.1,0.1,0,0.1,0.02,0.01,0.03,0.02,0.03
12,Oskar Ågren,se SWE,DF,San Jose,23-294,1998,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0.05,0.05,0.05
