Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches,-9999
1,Paxten Aaronson,us USA,FWMF,Philadelphia,18-310,2003,9,190,21,12.4,2.1,1,75,0,8,14,5,1.78,0,1,-1,-0.47,-1.15,1.7,3.6,-1.9,-0.90,-1.54,Matches,4cd41883
2,Lalas Abubakar,gh GHA,DF,Colorado Rapids,27-189,1994,15,1264,84,87.8,14.0,15,84,12,0,,0,1.27,15,16,-1,-0.07,+1.46,20.2,14.3,+5.9,+0.42,+1.86,Matches,4a67f05b
3,Nicolás Acevedo,uy URU,MFDF,NYCFC,23-079,1999,15,1034,69,71.8,11.5,12,78,5,3,34,0,1.80,18,10,+8,+0.70,-0.63,20.8,12.6,+8.2,+0.71,-0.21,Matches,6140be7b
4,Ifunanyachi Achara,us USA,FWMF,Toronto FC,24-277,1997,7,238,34,15.6,2.6,0,,0,7,34,6,0.71,4,2,+2,+0.76,+1.45,3.4,3.7,-0.3,-0.12,+1.00,Matches,d31bf83e
5,Bryan Acosta,hn HON,MF,Colorado Rapids,28-220,1993,11,688,63,47.8,7.6,8,78,4,3,21,3,1.27,8,11,-3,-0.39,-0.27,9.7,9.3,+0.4,+0.05,-0.27,Matches,c5f400f4
6,George Acosta,us USA,MF,Inter Miami,22-164,2000,1,7,7,0.5,0.1,0,,0,1,7,4,0.00,0,1,-1,-12.86,-12.42,0.2,0.1,0.0,+0.51,+0.80,Matches,409d5b26
7,Kellyn Acosta,us USA,MFDF,Los Angeles FC,26-343,1995,17,1282,75,83.8,14.2,14,87,11,3,24,0,2.12,31,15,+16,+1.12,+0.76,26.2,15.5,+10.7,+0.75,+0.33,Matches,ece10cfe
8,Luciano Acosta,ar ARG,MF,FC Cincinnati,28-032,1994,17,1356,80,88.6,15.1,15,87,9,2,25,0,1.41,25,29,-4,-0.27,-0.78,24.6,23.1,+1.6,+0.10,+0.07,Matches,363ba6d7
9,Mo Adams,eng ENG,MF,Inter Miami,25-282,1996,8,354,44,24.6,3.9,5,63,1,3,13,6,0.88,2,8,-6,-1.53,-1.36,3.3,6.0,-2.7,-0.69,-0.54,Matches,00362ef7
10,Samuel Adeniran,us USA,FWMF,Seattle,23-275,1998,2,73,37,5.1,0.8,1,45,0,1,28,4,0.00,0,2,-2,-2.47,-2.93,0.1,1.2,-1.1,-1.32,-1.33,Matches,86429529
