Touches,Touches,Touches,Touches,Touches,Touches,Touches,Dribbles,Dribbles,Dribbles,Dribbles,Dribbles,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving,Receiving,Receiving,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,#Pl,Megs,Carries,TotDist,PrgDist,Prog,1/3,CPA,Mis,Dis,Targ,Rec,Rec%,Prog,Matches,-9999
1,Paxten Aaronson,us USA,FWMF,Philadelphia,18-310,2003,2.1,91,1,11,43,50,9,91,2,6,33.3,3,0,63,533,291,11,9,2,5,6,78,55,70.5,12,Matches,4cd41883
2,Lalas Abubakar,gh GHA,DF,Colorado Rapids,27-189,1994,14.0,822,138,447,369,34,13,808,3,5,60.0,3,1,506,1956,1040,28,4,0,4,2,525,517,98.5,4,Matches,4a67f05b
3,Nicolás Acevedo,uy URU,MFDF,NYCFC,23-079,1999,11.5,882,38,295,457,192,11,830,8,14,57.1,8,1,580,2741,1579,56,21,3,7,10,596,571,95.8,20,Matches,6140be7b
4,Ifunanyachi Achara,us USA,FWMF,Toronto FC,24-277,1997,2.6,147,3,20,60,73,17,146,2,9,22.2,2,0,96,394,178,13,3,2,5,3,145,103,71.0,34,Matches,d31bf83e
5,Bryan Acosta,hn HON,MF,Colorado Rapids,28-220,1993,7.6,408,24,106,252,72,7,376,2,5,40.0,3,0,260,1079,448,14,3,0,4,8,277,255,92.1,13,Matches,c5f400f4
6,George Acosta,us USA,MF,Inter Miami,22-164,2000,0.1,11,1,2,7,2,0,10,0,0,,0,0,9,69,38,0,0,0,0,1,8,7,87.5,0,Matches,409d5b26
7,Kellyn Acosta,us USA,MFDF,Los Angeles FC,26-343,1995,14.2,896,17,160,436,356,19,778,7,18,38.9,8,2,544,2581,1376,51,15,4,18,17,655,601,91.8,46,Matches,ece10cfe
8,Luciano Acosta,ar ARG,MF,FC Cincinnati,28-032,1994,15.1,1034,8,102,472,529,57,935,31,61,50.8,33,7,706,3102,1852,105,31,6,38,41,880,733,83.3,104,Matches,363ba6d7
9,Mo Adams,eng ENG,MF,Inter Miami,25-282,1996,3.9,159,8,55,86,30,2,159,3,5,60.0,3,0,96,408,175,8,4,2,4,4,100,83,83.0,3,Matches,00362ef7
10,Samuel Adeniran,us USA,FWMF,Seattle,23-275,1998,0.8,29,1,2,10,18,5,28,0,4,0.0,0,0,18,39,6,0,0,0,3,2,31,16,51.6,8,Matches,86429529
11,Harrison Afful,gh GHA,DFMF,Charlotte FC,35-343,1986,4.8,406,14,112,223,94,1,368,2,7,28.6,2,0,293,1249,643,25,6,0,2,1,299,281,94.0,8,Matches,7d8ede09
12,Oskar Ågren,se SWE,DF,San Jose,23-295,1998,1.0,93,8,42,53,2,1,89,0,0,,0,0,60,373,195,4,1,0,0,0,65,65,100.0,0,Matches,5ad77e97
13,Daniel Aguirre,us USA,MFFW,LA Galaxy,23-000,1999,1.4,97,2,19,49,34,8,95,2,2,100.0,2,0,67,305,167,8,1,3,5,0,86,73,84.9,8,Matches,ecc5063f
14,Ali Ahmed,ca CAN,DF,Vancouver,21-265,2000,0.4,17,0,4,8,5,1,13,0,0,,0,0,8,36,11,0,0,0,1,1,12,10,83.3,0,Matches,540a5be1
15,Arnaud Ake,ci CIV,FW,Nashville,24-092,1998,3.0,96,0,8,38,57,15,95,4,8,50.0,4,0,75,332,192,10,4,1,14,6,124,69,55.6,33,Matches,3402bb17
16,Tesho Akindele,ca CAN,FW,Orlando City,30-093,1992,2.6,118,5,26,45,53,12,116,2,5,40.0,2,1,63,216,128,6,2,1,13,3,124,83,66.9,18,Matches,897304e5
17,Ayo Akinola,ca CAN,FW,Toronto FC,22-163,2000,5.1,134,3,13,47,81,29,133,3,6,50.0,3,0,90,424,170,10,0,4,16,12,176,104,59.1,30,Matches,214d2406
