Squad,# Pl,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Press,Succ,%,Def 3rd,Mid 3rd,Att 3rd,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err
Atlanta Utd,29,16,274,168,139,94,41,109,233,46.8,124,2142,651,30.4,670,923,549,236,63,1,173,260,534,215,3
Austin FC,24,17,257,160,126,84,47,79,216,36.6,137,2515,717,28.5,738,1095,682,218,57,0,161,239,496,264,11
CF Montréal,24,17,228,141,98,102,28,81,190,42.6,109,2210,655,29.6,635,1028,547,200,32,2,168,246,474,255,8
Charlotte FC,28,18,312,178,145,125,42,126,255,49.4,129,2801,805,28.7,862,1279,660,252,63,0,189,282,594,298,5
Chicago Fire,23,17,326,203,152,128,46,104,265,39.2,161,2313,745,32.2,726,1043,544,234,58,2,176,292,618,331,3
Colorado Rapids,25,16,257,159,115,112,30,102,230,44.3,128,2102,610,29,600,1022,480,214,66,2,148,224,481,278,2
Columbus Crew,25,16,271,171,131,109,31,96,229,41.9,133,2205,648,29.4,681,1011,513,205,48,1,157,290,561,250,4
D.C. United,29,15,233,135,111,92,30,84,226,37.2,142,2538,760,29.9,726,1188,624,222,48,2,174,257,490,294,4
FC Cincinnati,26,17,344,212,184,114,46,107,279,38.4,172,2816,829,29.4,989,1181,646,296,62,2,234,294,638,339,1
FC Dallas,22,17,315,184,167,107,41,121,251,48.2,130,2586,714,27.6,853,1069,664,226,48,3,178,212,527,306,1
Houston Dynamo,23,17,263,168,149,85,29,87,245,35.5,158,2379,629,26.4,871,935,573,248,70,1,178,262,525,365,3
Inter Miami,27,16,308,192,175,100,33,107,276,38.8,169,2293,637,27.8,894,989,410,218,61,1,157,281,589,350,5
LA Galaxy,21,16,234,156,112,84,38,93,232,40.1,139,2198,646,29.4,674,910,614,204,42,1,162,221,455,266,2
Los Angeles FC,25,17,300,188,147,98,55,130,309,42.1,179,2728,819,30,792,1167,769,210,50,1,160,271,571,268,4
Minnesota Utd,22,17,298,182,141,119,38,115,245,46.9,130,2730,779,28.5,904,1207,619,278,67,2,211,322,620,364,3
Nashville,21,17,248,158,124,105,19,102,229,44.5,127,2549,720,28.2,923,1111,515,243,58,0,185,229,477,314,7
New England,27,17,251,162,120,95,36,120,248,48.4,128,2242,656,29.3,725,965,552,230,75,0,155,230,481,330,3
NY Red Bulls,23,18,429,265,156,203,70,166,410,40.5,244,3634,1153,31.7,908,1654,1072,268,43,1,225,319,748,341,5
NYCFC,22,16,300,185,157,98,45,110,243,45.3,133,2421,763,31.5,843,1001,577,240,45,0,195,262,562,278,3
Orlando City,24,17,297,183,160,86,51,126,269,46.8,143,2681,713,26.6,878,1190,613,232,58,0,174,229,526,331,3
Philadelphia,20,17,365,207,177,141,47,118,278,42.4,160,2988,837,28,893,1358,737,304,74,1,230,280,645,394,4
Portland Timbers,26,18,328,202,202,94,32,112,278,40.3,166,2719,812,29.9,1053,1034,632,278,79,0,199,300,628,395,4
Real Salt Lake,28,17,284,179,138,99,47,103,252,40.9,149,2493,767,30.8,742,1136,615,244,45,0,199,267,551,352,7
San Jose,24,16,287,186,138,108,41,110,240,45.8,130,2269,740,32.6,675,1041,553,192,47,2,145,273,560,216,4
Seattle,26,16,258,152,150,81,27,104,262,39.7,158,2211,613,27.7,787,952,472,202,63,0,139,291,549,303,5
Sporting KC,21,18,268,168,102,118,48,86,196,43.9,110,2562,722,28.2,624,1208,730,238,52,0,186,284,552,315,2
Toronto FC,26,17,299,188,130,126,43,111,261,42.5,150,2806,838,29.9,933,1206,667,270,65,0,205,304,603,321,4
Vancouver,28,17,284,177,168,72,44,88,240,36.7,152,2704,679,25.1,986,1098,620,231,70,2,161,293,577,356,5
,,,,,,,,,,,,,,,,,,,,,,,,,
