Squad,# Pl,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%
Atlanta Utd,3,16,16,"1,440",16,22,1.37,52,30,61.5,5,4,7,3,18.8,2,2,0,0,0
Austin FC,2,17,17,"1,530",17,20,1.18,75,56,76,9,4,4,5,29.4,3,2,1,0,33.3
CF Montr̩al,1,17,17,"1,530",17,29,1.71,63,37,57.1,9,2,6,1,5.9,2,2,0,0,0
Charlotte FC,2,18,18,"1,620",18,22,1.22,74,55,74.3,6,2,10,5,27.8,3,3,0,0,0
Chicago Fire,1,17,17,"1,530",17,22,1.29,48,30,62.5,4,5,8,7,41.2,4,4,0,0,0
Colorado Rapids,2,16,16,"1,440",16,21,1.31,63,44,71.4,5,4,7,6,37.5,3,3,0,0,0
Columbus Crew,1,16,16,"1,440",16,16,1,62,45,75.8,5,6,5,4,25,1,1,0,0,0
D.C. United,3,15,15,"1,350",15,27,1.8,78,53,66.7,4,2,9,3,20,1,1,0,0,0
FC Cincinnati,2,17,17,"1,530",17,30,1.76,75,49,64,7,3,7,4,23.5,5,3,2,0,40
FC Dallas,2,17,17,"1,530",17,20,1.18,56,38,69.6,7,5,5,4,23.5,3,3,0,0,0
Houston Dynamo,2,17,17,"1,530",17,21,1.24,75,56,74.7,6,3,8,5,29.4,2,2,0,0,0
Inter Miami,3,16,16,"1,440",16,25,1.56,79,56,70.9,6,3,7,4,25,3,2,0,1,0
LA Galaxy,1,16,16,"1,440",16,19,1.19,58,40,69,7,3,6,5,31.3,1,1,0,0,0
Los Angeles FC,2,17,17,"1,530",17,18,1.06,50,35,68,11,3,3,5,29.4,2,2,0,0,0
Minnesota Utd,2,17,17,"1,530",17,21,1.24,83,63,78.3,6,3,8,3,17.6,4,3,1,0,25
Nashville,2,17,17,"1,530",17,17,1,66,49,77.3,7,5,5,4,23.5,2,2,0,0,0
New England,4,17,17,"1,530",17,26,1.53,70,45,64.3,6,6,5,3,17.6,1,1,0,0,0
NY Red Bulls,2,18,18,"1,620",18,20,1.11,58,38,67.2,8,5,5,4,22.2,1,1,0,0,0
NYCFC,1,16,16,"1,440",16,17,1.06,54,37,68.5,8,4,4,8,50,0,0,0,0,
Orlando City,2,17,17,"1,530",17,23,1.35,67,47,71.6,7,4,6,6,35.3,4,4,0,0,0
Philadelphia,1,17,17,"1,530",17,13,0.76,63,52,84.1,7,8,2,6,35.3,3,3,0,0,0
Portland Timbers,2,18,18,"1,620",18,27,1.5,83,57,68.7,5,7,6,4,22.2,2,1,1,0,50
Real Salt Lake,1,17,17,"1,530",17,19,1.12,79,62,79.7,8,5,4,7,41.2,3,3,0,0,0
San Jose,1,16,16,"1,440",16,34,2.12,89,59,66.3,3,6,7,2,12.5,4,4,0,0,0
Seattle,2,16,16,"1,440",16,19,1.19,66,48,74.2,7,2,7,3,18.8,2,2,0,0,0
Sporting KC,1,18,18,"1,620",18,32,1.78,68,38,55.9,4,4,10,4,22.2,3,2,1,0,33.3
Toronto FC,2,17,17,"1,530",17,32,1.88,97,66,68,5,3,9,0,0,1,1,0,0,0
Vancouver,3,17,17,"1,530",17,28,1.65,72,46,63.9,6,3,8,6,35.3,3,2,1,0,33.3
,,,,,,,,,,,,,,,,,,,,
