Squad,# Pl,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%
vs Atlanta Utd,3,16,16,1440,16,22,1.37,84,61,75.00,7,4,5,3,18.80,2,1,1,0,50.00
vs Austin FC,2,17,17,1530,17,32,1.88,61,31,50.80,4,4,9,2,11.80,2,2,0,0,0.00
vs CF Montr̩al,1,17,17,1530,17,32,1.88,73,42,58.90,6,2,9,2,11.80,2,2,0,0,0.00
vs Charlotte FC,2,18,18,1620,18,17,0.94,73,56,78.10,10,2,6,6,33.30,1,1,0,0,0.00
vs Chicago Fire,1,17,17,1530,17,15,0.88,62,49,79.00,8,5,4,8,47.10,2,2,0,0,0.00
vs Colorado Rapids,2,16,16,1440,16,17,1.06,63,47,76.20,7,4,5,4,25.00,2,2,0,0,0.00
vs Columbus Crew,1,16,16,1440,16,20,1.25,56,35,64.30,5,6,5,7,43.80,0,0,0,0,
vs D.C. United,3,15,15,1350,15,18,1.20,45,29,64.40,9,2,4,5,33.30,2,2,0,0,0.00
vs FC Cincinnati,2,17,17,1530,17,27,1.59,81,57,69.10,7,3,7,4,23.50,3,2,0,1,0.00
vs FC Dallas,2,17,17,1530,17,27,1.59,69,42,62.30,5,5,7,4,23.50,1,1,0,0,0.00
vs Houston Dynamo,2,17,17,1530,17,21,1.24,69,49,72.50,8,3,6,6,35.30,2,2,0,0,0.00
vs Inter Miami,3,16,16,1440,16,17,1.06,66,51,77.30,7,3,6,6,37.50,2,2,0,0,0.00
vs LA Galaxy,1,16,16,1440,16,20,1.25,72,54,75.00,6,3,7,4,25.00,3,2,1,0,33.30
vs Los Angeles FC,2,17,17,1530,17,33,1.94,99,66,69.70,3,3,11,1,5.90,3,3,0,0,0.00
vs Minnesota Utd,2,17,17,1530,17,20,1.18,72,53,75.00,8,3,6,4,23.50,2,2,0,0,0.00
vs Nashville,2,17,17,1530,17,20,1.18,70,48,72.90,5,5,7,4,23.50,2,1,1,0,50.00
vs New England,4,17,17,1530,17,27,1.59,70,47,67.10,5,6,6,2,11.80,4,4,0,0,0.00
vs NY Red Bulls,2,18,18,1620,18,28,1.56,81,59,70.40,5,5,8,5,27.80,5,4,1,0,20.00
vs NYCFC,1,16,16,1440,16,31,1.94,87,61,70.10,4,4,8,4,25.00,6,5,1,0,16.70
vs Orlando City,2,17,17,1530,17,20,1.18,63,43,68.30,6,4,7,3,17.60,0,0,0,0,
vs Philadelphia,1,17,17,1530,17,22,1.29,73,53,72.60,2,8,7,2,11.80,2,2,0,0,0.00
vs Portland Timbers,2,18,18,1620,18,27,1.50,66,43,65.20,6,7,5,4,22.20,4,4,0,0,0.00
vs Real Salt Lake,1,17,17,1530,17,20,1.18,67,47,71.60,4,5,8,6,35.30,1,1,0,0,0.00
vs San Jose,1,16,16,1440,16,25,1.56,66,43,66.70,7,6,3,5,31.30,3,3,0,0,0.00
vs Seattle,2,16,16,1440,16,24,1.50,70,51,71.40,7,2,7,5,31.30,4,4,0,0,0.00
vs Sporting KC,1,18,18,1620,18,16,0.89,51,36,70.60,10,4,4,6,33.30,1,1,0,0,0.00
vs Toronto FC,2,17,17,1530,17,24,1.41,68,46,66.20,9,3,5,4,23.50,2,1,1,0,50.00
vs Vancouver,3,17,17,1530,17,18,1.06,46,32,69.60,8,3,6,5,29.40,5,4,1,0,20.00
