Squad,# Pl,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,Def
Atlanta Utd,29,16,406,25.37,294,39,14,23,27,9,34,2.12,24,1,2,4,2,1
Austin FC,24,17,320,18.82,247,23,10,18,12,10,46,2.71,36,4,1,3,1,1
CF Montr̩al,24,17,311,18.29,226,36,20,12,13,4,56,3.29,43,4,3,2,3,1
Charlotte FC,28,18,304,16.89,215,34,14,26,14,1,26,1.44,20,2,0,2,2,0
Chicago Fire,23,17,347,20.41,261,25,18,16,19,8,22,1.29,18,2,0,1,1,0
Colorado Rapids,25,16,317,19.81,224,35,15,18,22,3,28,1.75,19,0,2,2,5,0
Columbus Crew,25,16,311,19.44,230,21,19,13,16,12,32,2.00,22,2,3,3,2,0
D.C. United,29,15,252,16.80,186,25,8,12,12,9,28,1.87,22,3,1,1,1,0
FC Cincinnati,26,17,349,20.53,275,26,14,10,14,10,43,2.53,34,1,2,3,2,1
FC Dallas,22,17,317,18.65,249,23,12,11,14,8,48,2.82,36,1,4,3,3,1
Houston Dynamo,23,17,308,18.12,241,18,11,13,18,7,34,2.00,24,1,3,4,2,0
Inter Miami,27,16,313,19.56,236,23,19,9,16,10,28,1.75,23,1,0,2,2,0
LA Galaxy,21,16,373,23.31,286,31,13,15,20,8,32,2.00,23,3,2,1,3,0
Los Angeles FC,25,17,389,22.88,273,38,20,21,22,15,45,2.65,35,1,1,5,3,0
Minnesota Utd,22,17,314,18.47,228,32,12,14,23,5,30,1.76,23,2,2,1,2,0
Nashville,21,17,269,15.82,195,28,12,18,11,5,37,2.18,27,3,2,4,1,0
New England,27,17,360,21.18,275,34,14,18,16,3,44,2.59,33,2,2,2,5,0
NY Red Bulls,23,18,367,20.39,249,39,18,17,29,15,40,2.22,25,3,2,4,4,2
NYCFC,22,16,395,24.69,286,41,18,26,13,11,51,3.19,31,4,2,7,3,4
Orlando City,24,17,293,17.24,212,30,11,19,15,6,32,1.88,20,4,1,5,1,1
Philadelphia,20,17,290,17.06,203,34,9,13,22,9,33,1.94,25,1,1,2,1,3
Portland Timbers,26,18,350,19.44,254,31,17,22,22,4,48,2.67,29,5,4,2,8,0
Real Salt Lake,28,17,287,16.88,195,31,20,15,18,8,29,1.71,15,6,3,2,3,0
San Jose,24,16,354,22.12,254,34,17,21,16,12,44,2.75,30,4,2,3,5,0
Seattle,26,16,292,18.25,217,21,11,19,16,8,43,2.69,31,1,0,3,5,3
Sporting KC,21,18,285,15.83,197,27,21,7,24,9,22,1.22,12,2,2,2,4,0
Toronto FC,26,17,267,15.71,210,18,17,9,8,5,41,2.41,28,3,6,1,2,1
Vancouver,28,17,279,16.41,195,29,13,18,17,7,24,1.41,16,2,0,1,5,0
