Squad,# Pl,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,Def
vs Atlanta Utd,29,16,321,20.06,236,30,23,17,8,7,40,2.50,28,3,4,1,3,1
vs Austin FC,24,17,329,19.35,241,27,13,19,16,13,31,1.82,22,1,2,2,3,1
vs CF Montr̩al,24,17,231,13.59,165,25,11,9,14,7,41,2.41,29,2,2,1,3,4
vs Charlotte FC,28,18,370,20.56,288,38,10,12,13,9,31,1.72,26,1,0,1,2,1
vs Chicago Fire,23,17,295,17.35,213,26,15,14,22,5,35,2.06,23,2,3,3,3,1
vs Colorado Rapids,25,16,294,18.37,196,29,21,17,22,9,34,2.12,24,2,5,1,2,0
vs Columbus Crew,25,16,265,16.56,197,30,9,13,10,6,27,1.69,15,2,3,4,2,1
vs D.C. United,29,15,292,19.47,222,27,11,14,14,4,38,2.53,26,7,0,3,2,0
vs FC Cincinnati,26,17,383,22.53,279,41,13,23,19,8,47,2.76,33,5,1,3,4,1
vs FC Dallas,22,17,288,16.94,204,25,14,20,20,5,31,1.82,22,2,0,1,6,0
vs Houston Dynamo,23,17,382,22.47,267,39,20,27,22,7,31,1.82,18,3,0,7,3,0
vs Inter Miami,27,16,331,20.69,252,23,14,13,24,5,40,2.50,34,1,0,1,3,1
vs LA Galaxy,21,16,255,15.94,188,17,17,15,11,7,36,2.25,23,1,4,5,2,1
vs Los Angeles FC,25,17,288,16.94,185,31,20,14,25,13,28,1.65,19,1,0,3,4,1
vs Minnesota Utd,22,17,385,22.65,294,33,16,16,21,5,33,1.94,25,2,0,2,3,1
vs Nashville,21,17,326,19.18,255,24,13,9,22,3,31,1.82,21,2,1,2,5,0
vs New England,27,17,321,18.88,237,22,18,20,16,8,44,2.59,35,1,4,1,3,0
vs NY Red Bulls,23,18,243,13.50,182,21,14,9,11,6,33,1.83,24,3,2,3,1,0
vs NYCFC,22,16,245,15.31,164,31,15,9,14,12,26,1.62,18,3,2,2,1,0
vs Orlando City,24,17,351,20.65,277,23,16,11,12,12,34,2.00,26,0,1,5,2,0
vs Philadelphia,20,17,351,20.65,259,38,10,17,18,9,19,1.12,15,0,2,2,0,0
vs Portland Timbers,26,18,419,23.28,302,43,16,21,31,6,47,2.61,34,5,3,2,3,0
vs Real Salt Lake,28,17,284,16.71,208,23,18,15,15,5,28,1.65,14,3,2,4,4,1
vs San Jose,24,16,313,19.56,233,25,11,16,17,11,53,3.31,36,6,2,2,5,2
vs Seattle,26,16,348,21.75,255,36,12,22,14,9,28,1.75,20,0,1,3,3,1
vs Sporting KC,21,18,321,17.83,234,29,14,17,20,7,58,3.22,43,2,3,5,5,0
vs Toronto FC,26,17,429,25.24,323,36,21,21,16,12,51,3.00,37,5,3,3,2,1
vs Vancouver,28,17,359,21.12,257,34,12,23,22,11,45,2.65,34,3,3,3,2,0
