Squad,# Pl,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
Atlanta Utd,29,16,34,3,1,181,219,32,219,260,168,1,2,0,1261,214,200,51.7
Austin FC,24,17,42,2,1,253,209,32,200,239,160,1,3,0,1269,180,242,42.7
CF Montréal,24,17,45,1,0,216,232,24,177,246,141,1,2,1,1310,238,201,54.2
Charlotte FC,28,18,32,0,0,228,199,20,219,282,178,1,3,0,1423,248,276,47.3
Chicago Fire,23,17,47,4,4,246,239,44,224,292,203,1,4,1,1468,335,273,55.1
Colorado Rapids,25,16,46,3,2,225,202,31,196,224,159,2,3,0,1204,246,201,55
Columbus Crew,25,16,28,0,0,193,245,28,201,290,171,0,1,1,1331,224,287,43.8
D.C. United,29,15,38,3,2,248,188,23,189,257,135,0,1,1,1380,304,270,53
FC Cincinnati,26,17,43,1,1,235,205,30,171,294,212,3,5,1,1403,263,255,50.8
FC Dallas,22,17,41,1,1,247,212,28,163,212,184,1,3,0,1383,224,262,46.1
Houston Dynamo,23,17,56,3,2,232,196,28,188,262,168,2,2,0,1141,201,239,45.7
Inter Miami,27,16,45,4,3,211,185,22,152,281,192,2,3,0,1087,182,212,46.2
LA Galaxy,21,16,36,3,1,227,192,20,219,221,156,2,1,0,1239,213,195,52.2
Los Angeles FC,25,17,48,0,0,268,233,26,186,271,188,2,2,1,1483,269,246,52.2
Minnesota Utd,22,17,50,1,1,252,227,22,167,322,182,2,4,1,1498,261,265,49.6
Nashville,21,17,38,1,0,222,201,37,201,229,158,1,2,0,1341,357,262,57.7
New England,27,17,39,1,1,192,217,20,282,230,162,3,1,1,1356,258,228,53.1
NY Red Bulls,23,18,50,2,2,298,226,28,225,319,265,3,1,0,1820,379,380,49.9
NYCFC,22,16,39,1,1,230,219,27,225,262,185,2,0,1,1430,276,241,53.4
Orlando City,24,17,43,3,2,230,296,23,199,229,183,0,3,0,1196,232,217,51.7
Philadelphia,20,17,41,2,2,269,190,26,179,280,207,1,3,0,1486,365,361,50.3
Portland Timbers,26,18,56,5,4,262,229,17,188,300,202,4,2,1,1544,256,275,48.2
Real Salt Lake,28,17,36,1,1,192,184,34,213,267,179,1,2,0,1384,266,298,47.2
San Jose,24,16,30,1,0,208,259,14,178,273,186,3,4,0,1255,185,200,48.1
Seattle,26,16,29,1,1,159,217,22,218,291,152,4,2,0,1198,225,209,51.8
Sporting KC,21,18,39,4,2,245,244,17,195,284,168,1,3,0,1419,272,286,48.7
Toronto FC,26,17,33,2,0,172,239,14,146,304,188,1,1,0,1479,225,315,41.7
Vancouver,28,17,36,1,1,218,233,25,203,293,177,5,3,0,1191,254,255,49.9
,,,,,,,,,,,,,,,,,,
