Squad,# Pl,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
vs Atlanta Utd,29,16,50,2,2,231,176,26,171,267,182,2,2,0,1191,200,214,48.3
vs Austin FC,24,17,46,3,2,219,246,32,183,267,168,3,1,1,1183,242,180,57.3
vs CF Montréal,24,17,47,4,3,240,208,37,157,273,213,2,2,0,1227,201,238,45.8
vs Charlotte FC,28,18,31,0,0,205,220,27,209,280,181,2,1,0,1334,276,248,52.7
vs Chicago Fire,23,17,43,1,1,250,241,30,182,299,175,3,2,0,1422,273,333,45
vs Colorado Rapids,25,16,40,3,1,210,219,14,154,236,120,2,2,0,1213,200,246,44.8
vs Columbus Crew,25,16,39,3,1,252,189,13,181,243,197,1,0,0,1300,287,224,56.2
vs D.C. United,29,15,36,0,0,195,241,28,173,267,160,0,2,0,1344,270,304,47
vs FC Cincinnati,26,17,30,2,0,214,222,19,223,232,182,1,3,2,1476,255,263,49.2
vs FC Dallas,22,17,40,0,0,216,241,18,210,296,163,3,1,0,1329,262,224,53.9
vs Houston Dynamo,23,17,48,2,2,199,226,23,236,229,170,2,2,0,1316,239,201,54.3
vs Inter Miami,27,16,36,1,1,187,209,24,237,252,150,3,2,0,1289,212,182,53.8
vs LA Galaxy,21,16,40,2,1,202,221,50,167,307,168,1,3,1,1190,195,213,47.8
vs Los Angeles FC,25,17,42,2,1,247,251,21,178,312,236,2,3,0,1351,246,269,47.8
vs Minnesota Utd,22,17,36,3,1,234,240,18,247,298,220,2,2,0,1470,265,261,50.4
vs Nashville,21,17,37,1,0,205,211,14,181,262,148,2,2,0,1343,262,357,42.3
vs New England,27,17,48,4,4,220,187,13,183,249,159,1,4,0,1327,228,258,46.9
vs NY Red Bulls,23,18,41,3,3,241,289,25,159,270,200,0,5,2,1728,380,379,50.1
vs NYCFC,22,16,29,0,0,232,224,30,155,296,194,0,6,0,1269,241,276,46.6
vs Orlando City,24,17,54,3,2,301,219,22,213,282,194,2,0,0,1329,217,232,48.3
vs Philadelphia,20,17,42,1,1,198,250,27,232,241,154,0,2,1,1658,361,365,49.7
vs Portland Timbers,26,18,50,4,4,242,260,27,296,281,184,2,4,0,1485,275,256,51.8
vs Real Salt Lake,28,17,37,3,0,190,186,21,202,236,163,3,1,0,1394,298,266,52.8
vs San Jose,24,16,42,0,0,274,197,21,153,289,218,3,3,0,1224,200,185,51.9
vs Seattle,26,16,32,1,1,222,154,22,183,251,156,2,4,1,1193,209,225,48.2
vs Sporting KC,21,18,48,4,3,245,236,48,181,250,174,3,1,1,1472,288,273,51.3
vs Toronto FC,26,17,40,1,1,248,167,47,249,345,245,1,2,1,1611,315,225,58.3
vs Vancouver,28,17,36,1,1,240,207,17,228,204,135,2,4,0,1311,255,254,50.1
,,,,,,,,,,,,,,,,,,
