Squad,# Pl,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,3-Jan,PPA,CrsPA,Prog
Atlanta Utd,29,16,7387,8817,84,147222,47051,2787,3104,89.80,3327,3737,89,1150,1692,68.00,14,17.80,-3.80,189,559,152,36,603
Austin FC,24,17,7070,8633,82,142613,45489,2662,2971,89.60,3190,3617,88,1103,1781,61.90,26,17.60,8.40,148,476,152,37,533
CF Montr̩al,24,17,7056,8553,83,135650,46682,2923,3260,89.70,3093,3554,87,952,1503,63.30,25,16.70,8.30,148,529,113,33,537
Charlotte FC,28,18,7370,9166,80,149843,48255,2619,2959,88.50,3506,3977,88,1131,1903,59.40,11,13.90,-2.90,145,502,125,31,527
Chicago Fire,23,17,5923,7714,77,115409,42516,2556,2989,85.50,2349,2825,83,921,1622,56.80,11,15.60,-4.60,165,442,150,45,548
Colorado Rapids,25,16,5741,7237,79,124140,43438,1966,2271,86.60,2597,3003,87,1094,1737,63.00,10,14.80,-4.80,148,462,133,28,549
Columbus Crew,25,16,6421,7953,81,127560,42436,2419,2723,88.80,2902,3341,87,980,1612,60.80,13,16.70,-3.70,142,480,151,26,570
D.C. United,29,15,4634,6324,73,99785,34373,1561,1883,82.90,2091,2575,81,897,1598,56.10,11,13.10,-2.10,120,362,101,28,488
FC Cincinnati,26,17,5518,7224,76,109166,41853,2279,2678,85.10,2248,2671,84,880,1571,56.00,20,18.90,1.10,168,488,132,33,543
FC Dallas,22,17,6761,8384,81,128577,40496,2837,3183,89.10,2886,3291,88,912,1605,56.80,20,19.10,0.90,152,428,142,23,536
Houston Dynamo,23,17,6500,7893,82,133577,42344,2226,2529,88.00,3068,3408,90,1098,1698,64.70,13,14.80,-1.80,137,446,104,35,516
Inter Miami,27,16,5588,6956,80,114180,38052,2114,2388,88.50,2453,2791,88,950,1577,60.20,12,14.60,-2.60,151,374,107,27,396
LA Galaxy,21,16,7275,8776,83,142417,46642,2887,3252,88.80,3242,3662,89,1045,1600,65.30,14,19.90,-5.90,175,602,185,34,680
Los Angeles FC,25,17,6636,8260,80,126141,47133,2736,3110,88.00,2881,3338,86,877,1473,59.50,19,17.60,1.40,171,553,156,28,727
Minnesota Utd,22,17,5888,7552,78,113998,43575,2515,2902,86.70,2372,2818,84,878,1528,57.50,12,14.00,-2.00,148,498,119,31,585
Nashville,21,17,6019,7677,78,125473,44630,2140,2468,86.70,2743,3226,85,1051,1729,60.80,18,16.40,1.60,129,438,116,44,515
New England,27,17,7574,9192,82,155249,50224,2738,3088,88.70,3425,3901,88,1303,1895,68.80,20,15.30,4.70,176,583,184,71,656
NY Red Bulls,23,18,4767,6857,70,96341,38637,1822,2254,80.80,2107,2635,80,746,1663,44.90,15,18.20,-3.20,168,446,149,33,584
NYCFC,22,16,7420,9026,82,146285,51094,2841,3208,88.60,3407,3891,88,1074,1640,65.50,20,20.60,-0.60,188,512,177,40,691
Orlando City,24,17,6449,7917,82,123356,44462,2696,2996,90.00,2768,3223,86,875,1429,61.20,17,15.00,2.00,139,522,126,23,608
Philadelphia,20,17,4397,6268,70,91783,40600,1690,2085,81.10,1799,2318,78,809,1580,51.20,17,18.30,-1.30,138,385,134,47,506
Portland Timbers,26,18,6750,8519,79,132607,45483,2750,3146,87.40,2879,3332,86,1027,1782,57.60,19,17.30,1.70,161,536,157,27,657
Real Salt Lake,28,17,5538,7231,77,114303,40746,2088,2387,87.50,2441,2838,86,925,1758,52.60,15,15.10,-0.10,137,441,114,42,428
San Jose,24,16,7384,8851,83,149477,44317,2736,3050,89.70,3347,3734,90,1211,1799,67.30,18,14.60,3.40,160,548,134,29,566
Seattle,26,16,6888,8397,82,134607,44691,2780,3082,90.20,2949,3380,87,1033,1628,63.50,15,14.80,0.20,130,434,119,40,514
Sporting KC,21,18,7203,8958,80,145501,42747,2753,3134,87.80,3223,3680,88,1148,1870,61.40,8,11.50,-3.50,131,555,101,20,520
Toronto FC,26,17,6898,8749,79,122639,42196,3141,3549,88.50,2715,3214,85,818,1563,52.30,19,14.60,4.40,130,474,136,17,598
Vancouver,28,17,5504,7054,78,115847,42028,1920,2203,87.20,2564,3003,85,945,1610,58.70,6,11.40,-5.40,122,440,130,37,495
