Squad,# Pl,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,3-Jan,PPA,CrsPA,Prog
vs Atlanta Utd,29,16,4926,6392,77,99551,37070,1943,2233,87,2065,2442,84.60,818,1456,56.20,18,17.60,0.40,154,409,138,37,444
vs Austin FC,24,17,5637,7148,79,117417,40027,2000,2281,88,2523,2928,86.20,1007,1668,60.40,13,17.40,-4.40,153,442,115,33,468
vs CF Montr̩al,24,17,6248,7826,80,123033,41638,2421,2739,88,2857,3282,87.10,882,1552,56.80,15,10.80,4.20,107,397,105,24,492
vs Charlotte FC,28,18,6178,7893,78,123867,46026,2418,2811,86,2684,3150,85.20,973,1626,59.80,13,16.20,-3.20,176,510,158,45,552
vs Chicago Fire,23,17,6138,7832,78,121642,42716,2327,2694,86,2757,3219,85.60,950,1646,57.70,13,14.40,-1.40,136,458,124,29,524
vs Colorado Rapids,25,16,6215,7650,81,126309,39071,2227,2477,90,2902,3250,89.30,1001,1697,59.00,17,14.40,2.60,137,418,92,19,478
vs Columbus Crew,25,16,6385,7904,81,126572,42199,2514,2833,89,2769,3204,86.40,986,1579,62.40,12,14.20,-2.20,136,462,117,26,513
vs D.C. United,29,15,5274,7037,75,105670,36790,2081,2447,85,2200,2673,82.30,881,1631,54.00,17,15.70,1.30,137,393,118,39,455
vs FC Cincinnati,26,17,7081,8805,80,136711,46362,2905,3296,88,3011,3488,86.30,1025,1667,61.50,21,16.90,4.10,177,527,161,45,616
vs FC Dallas,22,17,6680,8276,81,135078,43880,2503,2809,89,2995,3430,87.30,1072,1750,61.30,13,12.00,1.00,130,500,116,33,558
vs Houston Dynamo,23,17,7137,8632,83,141878,45899,2812,3144,89,3131,3524,88.80,1094,1697,64.50,14,15.60,-1.60,177,528,162,46,611
vs Inter Miami,27,16,6841,8265,83,134901,45392,2643,2977,89,3117,3542,88.00,986,1499,65.80,17,15.20,1.80,155,573,182,44,691
vs LA Galaxy,21,16,5369,6843,79,110228,38900,2003,2330,86,2378,2745,86.60,909,1535,59.20,14,14.30,-0.30,117,393,106,28,510
vs Los Angeles FC,25,17,5662,7319,77,112803,42134,2286,2618,87,2349,2802,83.80,905,1610,56.20,11,12.90,-1.90,125,398,108,26,479
vs Minnesota Utd,22,17,7011,8747,80,135286,48628,2879,3260,88,3012,3521,85.50,984,1616,60.90,13,19.70,-6.70,179,568,168,46,676
vs Nashville,21,17,7312,8911,82,143707,44678,2863,3200,90,3256,3674,88.60,1093,1769,61.80,11,12.90,-1.90,150,602,135,28,594
vs New England,27,17,5989,7595,79,119200,42018,2419,2704,90,2502,2945,85.00,950,1671,56.90,16,14.20,1.80,142,449,148,30,541
vs NY Red Bulls,23,18,6690,8724,77,134007,47123,2536,2959,86,2922,3461,84.40,1090,1929,56.50,15,19.80,-4.80,118,435,115,21,552
vs NYCFC,22,16,4714,6344,74,96984,37418,1848,2159,86,1976,2400,82.30,802,1515,52.90,16,14.30,1.70,118,403,114,27,448
vs Orlando City,24,17,6584,8107,81,129069,43732,2623,2954,89,2852,3245,87.90,978,1608,60.80,14,16.50,-2.50,168,517,149,36,621
vs Philadelphia,20,17,7168,9095,79,140717,49266,2966,3385,88,2947,3536,83.30,1134,1841,61.60,9,12.40,-3.40,169,531,166,36,676
vs Portland Timbers,26,18,7120,8880,80,145071,50940,2654,3053,87,3205,3660,87.60,1162,1888,61.50,22,18.70,3.30,192,651,178,43,739
vs Real Salt Lake,28,17,7372,9055,81,143535,47569,2919,3292,89,3344,3824,87.40,1008,1658,60.80,10,12.40,-2.40,128,510,94,24,578
vs San Jose,24,16,4469,5889,76,91000,36328,1721,2024,85,1929,2322,83.10,746,1336,55.80,22,20.80,1.20,150,361,119,34,447
vs Seattle,26,16,6402,7879,81,125040,42569,2630,2979,88,2739,3148,87.00,934,1508,61.90,9,14.10,-5.10,163,510,138,32,525
vs Sporting KC,21,18,7245,9010,80,148814,48907,2594,2987,87,3354,3823,87.70,1201,1922,62.50,26,19.50,6.50,150,488,135,37,582
vs Toronto FC,26,17,6231,8027,78,124141,46658,2539,2955,86,2539,3052,83.20,1035,1700,60.90,27,26.90,0.10,207,529,184,48,653
vs Vancouver,28,17,8481,10053,84,171515,48252,2908,3252,89,4257,4693,90.70,1227,1872,65.50,20,18.40,1.60,165,553,154,29,653
