Squad,# Pl,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,onxG,onxGA,xG+/-,xG+/-90
Atlanta Utd,29,26.00,16,1440,90,100,16,176,82,112,64,21,71,1.19,24,24,0,0.00,24.40,22.40,2.00,0.12
Austin FC,24,27.90,17,1530,90,100,17,187,80,101,84,22,69,1.82,32,20,12,0.71,25.20,26.30,-1.10,-0.07
CF Montr̩al,24,26.20,17,1530,90,100,17,187,81,112,74,23,77,1.71,32,29,3,0.18,23.80,18.40,5.40,0.32
Charlotte FC,28,26.70,18,1620,90,100,18,198,83,116,82,16,78,1.11,17,22,-5,-0.28,19.80,22.20,-2.30,-0.13
Chicago Fire,23,26.20,17,1530,90,100,17,187,82,121,62,21,89,1.00,15,22,-7,-0.41,21.30,22.20,-0.90,-0.05
Colorado Rapids,25,28.40,16,1440,90,100,16,176,82,109,64,20,79,1.19,17,21,-4,-0.25,23.20,20.10,3.10,0.19
Columbus Crew,25,28.90,16,1440,90,100,16,176,83,116,60,20,83,1.31,20,18,2,0.12,21.90,19.50,2.50,0.16
D.C. United,29,27.50,15,1350,90,100,15,165,80,96,69,23,59,0.93,18,27,-9,-0.60,18.10,20.90,-2.80,-0.19
FC Cincinnati,26,27.40,17,1530,90,100,17,187,83,113,73,17,76,1.41,27,30,-3,-0.18,27.30,25.70,1.60,0.10
FC Dallas,22,25.50,17,1530,90,100,17,187,84,110,77,15,76,1.53,27,20,7,0.41,24.80,19.10,5.70,0.34
Houston Dynamo,23,28.20,17,1530,90,100,17,187,81,106,78,20,75,1.24,21,21,0,0.00,21.90,24.40,-2.50,-0.15
Inter Miami,27,26.60,16,1440,90,100,16,176,81,113,60,23,70,1.31,17,25,-8,-0.50,19.00,23.70,-4.60,-0.29
LA Galaxy,21,27.30,16,1440,90,100,16,176,81,109,66,23,75,1.50,20,19,1,0.06,27.00,20.80,6.20,0.39
Los Angeles FC,25,26.80,17,1530,90,100,17,187,82,117,70,23,62,2.12,35,18,17,1.00,30.60,18.70,11.90,0.70
Minnesota Utd,22,28.10,17,1530,90,100,17,187,84,130,57,21,93,1.24,20,21,-1,-0.06,21.00,27.90,-6.90,-0.41
Nashville,21,29.20,17,1530,90,100,17,187,84,122,65,17,86,1.53,22,19,3,0.18,22.70,18.10,4.50,0.27
New England,27,28.30,17,1530,90,100,17,187,83,126,61,22,91,1.41,27,26,1,0.06,22.80,20.20,2.60,0.15
NY Red Bulls,23,24.20,18,1620,90,100,18,198,82,125,71,22,67,1.61,28,20,8,0.44,28.70,24.00,4.70,0.26
NYCFC,22,26.40,16,1440,90,100,16,176,82,110,66,22,78,1.75,31,17,14,0.87,31.80,19.50,12.30,0.77
Orlando City,24,27.60,17,1530,90,100,17,187,82,109,75,18,77,1.47,20,23,-3,-0.18,19.70,24.20,-4.50,-0.27
Philadelphia,20,26.80,17,1530,90,100,17,187,85,136,49,19,101,1.71,22,13,9,0.53,26.40,18.90,7.50,0.44
Portland Timbers,26,28.20,18,1620,90,100,18,198,82,117,76,19,74,1.22,27,27,0,0.00,24.70,26.10,-1.40,-0.08
Real Salt Lake,28,28.30,17,1530,90,100,17,187,84,117,69,17,70,1.71,20,19,1,0.06,22.70,22.00,0.70,0.04
San Jose,24,26.30,16,1440,90,100,16,176,84,118,57,18,83,0.94,25,34,-9,-0.56,20.70,29.90,-9.30,-0.58
Seattle,26,27.90,16,1440,90,100,16,176,82,106,69,21,63,1.44,24,19,5,0.31,22.50,23.50,-0.90,-0.06
Sporting KC,21,29.00,18,1620,90,100,18,198,83,137,59,22,88,0.89,16,32,-16,-0.89,15.50,26.70,-11.20,-0.62
Toronto FC,26,26.50,17,1530,90,100,17,187,81,119,68,24,73,1.06,24,32,-8,-0.47,18.70,35.10,-16.30,-0.96
Vancouver,28,25.90,17,1530,90,100,17,187,80,106,80,24,71,1.24,18,28,-10,-0.59,19.90,25.80,-5.90,-0.35
