Squad,# Pl,Poss,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,#Pl,Megs,Carries,TotDist,PrgDist,Prog,3-Jan,CPA,Mis,Dis,Targ,Rec,Rec%,Prog
Atlanta Utd,29,59.10,16,10612,1097,3597,5105,2656,430,9886,132,250,52.80,141,13,7388,39111,20582,789,252,74,228,193,8241,7387,89.60,603
Austin FC,24,55.10,17,10392,1292,3974,4402,2651,409,9626,122,223,54.70,132,23,6821,33117,17237,610,198,49,187,176,7838,7070,90.20,533
CF Montr̩al,24,52.50,17,10381,990,3266,5176,2579,372,9580,172,303,56.80,186,18,7088,35822,17430,665,204,77,213,220,8079,7056,87.30,537
Charlotte FC,28,54.00,18,11110,1406,4238,4993,2556,355,10263,128,238,53.80,144,11,7139,36729,18075,624,192,51,251,195,8442,7370,87.30,527
Chicago Fire,23,49.60,17,9757,1001,3203,4487,2616,405,8906,131,243,53.90,144,17,5999,29113,14715,588,205,54,226,196,6915,5923,85.70,548
Colorado Rapids,25,48.10,16,8853,1046,3103,4145,2063,394,8134,107,181,59.10,115,14,5478,26002,13546,592,149,72,206,123,6567,5741,87.40,549
Columbus Crew,25,49.20,16,9791,1078,3210,4466,2788,438,9042,167,296,56.40,183,20,6698,34564,17312,709,254,70,237,193,7242,6421,88.70,570
D.C. United,29,47.20,15,8061,887,2694,3761,2094,352,7295,90,195,46.20,100,17,4648,25148,13490,492,149,53,236,140,5641,4634,82.10,488
FC Cincinnati,26,45.20,17,9300,1052,3028,4251,2548,361,8518,125,243,51.40,133,20,5412,27150,14063,573,190,63,213,186,6400,5518,86.20,543
FC Dallas,22,50.20,17,10209,1228,4010,4583,2243,388,9423,119,231,51.50,131,23,6706,33840,18259,646,199,72,213,166,7596,6761,89.00,536
Houston Dynamo,23,47.90,17,9822,1354,4096,3979,2418,328,9102,153,264,58.00,163,16,6477,34154,19267,616,212,61,190,181,7396,6500,87.90,516
Inter Miami,27,45.90,16,8821,1285,3711,3621,2059,308,8107,137,255,53.70,153,25,5524,28771,15597,522,177,65,208,152,6492,5588,86.10,396
LA Galaxy,21,56.10,16,10497,1070,3333,4580,3273,466,9723,121,264,45.80,140,11,6924,35657,19775,818,260,94,211,161,8115,7275,89.60,680
Los Angeles FC,25,54.40,17,10330,1008,3370,4522,3128,481,9463,164,337,48.70,180,24,6555,33853,18496,728,220,91,252,236,7581,6636,87.50,727
Minnesota Utd,22,46.20,17,9750,1153,3373,4232,2738,356,8958,171,322,53.10,183,22,6000,29928,16120,622,207,57,274,222,6821,5888,86.30,585
Nashville,21,45.60,17,9425,1118,3546,4323,2114,357,8694,107,184,58.20,118,10,5686,27909,14158,554,166,58,195,163,6964,6019,86.40,515
New England,27,55.10,17,11020,1065,3650,5094,2969,460,10274,137,244,56.10,149,15,7285,37431,19234,726,233,66,228,174,8430,7574,89.80,656
NY Red Bulls,23,44.20,18,9151,856,2816,4132,2732,492,8312,130,280,46.40,150,21,5023,26810,14667,616,205,79,235,199,5985,4767,79.60,584
NYCFC,22,59.30,16,10987,1223,4024,4726,2876,510,10235,150,279,53.80,164,19,7333,34077,18575,696,209,90,218,209,8361,7420,88.70,691
Orlando City,24,49.30,17,9859,1056,3304,4519,2605,338,9060,107,231,46.30,125,16,6294,31155,16113,582,180,39,216,192,7354,6449,87.70,608
Philadelphia,20,40.80,17,8362,1127,2991,3589,2256,401,7590,88,194,45.40,105,17,4379,24597,12670,427,150,53,234,134,5393,4397,81.50,506
Portland Timbers,26,48.90,18,10670,1369,4066,4455,2775,415,9892,155,290,53.40,172,19,6568,34056,18803,675,195,54,242,188,7749,6750,87.10,657
Real Salt Lake,28,44.10,17,9182,1013,3042,4227,2456,361,8444,114,218,52.30,121,14,5688,30124,15143,590,195,53,222,182,6481,5538,85.40,428
San Jose,24,60.20,16,10691,978,3409,5170,2813,339,9891,160,315,50.80,181,22,7469,36894,19506,728,193,48,222,219,8147,7384,90.60,566
Seattle,26,51.80,16,10153,1267,3669,4668,2418,347,9428,113,207,54.60,120,13,6572,32835,16746,592,185,64,190,155,7781,6888,88.50,514
Sporting KC,21,50.10,18,10883,1088,3531,5052,3063,344,9991,133,267,49.80,153,11,7073,35736,19990,720,250,62,251,185,8141,7202,88.50,520
Toronto FC,26,51.90,17,10824,1375,3825,4836,2818,366,9941,177,339,52.20,188,24,7001,34581,17858,712,214,69,222,231,7957,6898,86.70,598
Vancouver,28,40.80,17,8932,1135,3427,3765,2198,347,8185,108,207,52.20,118,8,5356,24756,12788,466,134,47,188,155,6200,5504,88.80,495
