Squad,# Pl,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
Atlanta Utd,29,16,24,249,84,33.7,15.56,5.25,0.09,0.27,17.3,14,1,2,24.4,23.3,0.1,-0.4,-0.3
Austin FC,24,17,31,208,61,29.3,12.24,3.59,0.14,0.48,16.2,6,2,2,25.2,23.8,0.12,5.8,5.2
CF Montr̩al,24,17,32,195,73,37.4,11.47,4.29,0.15,0.41,16.1,6,2,2,23.8,22.3,0.12,8.2,7.7
Charlotte FC,28,18,17,202,73,36.1,11.22,4.06,0.08,0.22,17.6,8,1,1,19.8,19.1,0.1,-2.8,-3.1
Chicago Fire,23,17,15,224,62,27.7,13.18,3.65,0.06,0.21,17.7,9,2,2,21.3,19.8,0.09,-6.3,-6.8
Colorado Rapids,25,16,17,203,63,31,12.69,3.94,0.07,0.24,16.2,9,2,2,23.2,21.7,0.11,-6.2,-6.7
Columbus Crew,25,16,20,204,56,27.5,12.75,3.5,0.1,0.36,17.4,11,0,0,21.9,21.9,0.11,-1.9,-1.9
D.C. United,29,15,18,159,45,28.3,10.6,3,0.1,0.36,16.8,4,2,2,18.1,16.7,0.11,-0.1,-0.7
FC Cincinnati,26,17,25,221,81,36.7,13,4.76,0.1,0.28,16.8,1,2,3,27.3,25.1,0.11,-2.3,-2.1
FC Dallas,22,17,27,206,69,33.5,12.12,4.06,0.13,0.38,17.1,6,1,1,24.8,24.1,0.12,2.2,1.9
Houston Dynamo,23,17,21,201,69,34.3,11.82,4.06,0.09,0.28,17.4,8,2,2,21.9,20.3,0.1,-0.9,-1.3
Inter Miami,27,16,17,189,66,34.9,11.81,4.12,0.08,0.23,18.8,7,2,2,19,17.5,0.09,-2,-2.5
LA Galaxy,21,16,19,222,72,32.4,13.87,4.5,0.08,0.24,17.2,12,2,3,27,24.8,0.11,-8,-7.8
Los Angeles FC,25,17,35,266,99,37.2,15.65,5.82,0.12,0.32,17.3,16,3,3,30.6,28.3,0.11,4.4,3.7
Minnesota Utd,22,17,20,201,72,35.8,11.82,4.24,0.09,0.25,18,12,2,2,21,19.5,0.1,-1,-1.5
Nashville,21,17,22,192,70,36.5,11.29,4.12,0.11,0.3,16.1,5,1,2,22.7,21.2,0.11,-0.7,-0.2
New England,27,17,27,228,70,30.7,13.41,4.12,0.1,0.33,15.7,6,4,4,22.8,19.7,0.09,4.2,3.3
NY Red Bulls,23,18,26,255,81,31.8,14.17,4.5,0.09,0.27,17.6,12,4,5,28.7,24.9,0.1,-2.7,-2.9
NYCFC,22,16,31,248,87,35.1,15.5,5.44,0.1,0.3,15.9,5,5,6,31.8,27.3,0.11,-0.8,-1.3
Orlando City,24,17,20,185,63,34.1,10.88,3.71,0.11,0.32,16.7,6,0,0,19.7,19.7,0.11,0.3,0.3
Philadelphia,20,17,21,196,73,37.2,11.53,4.29,0.1,0.26,15.8,11,2,2,26.4,24.9,0.13,-5.4,-5.9
Portland Timbers,26,18,27,222,66,29.7,12.33,3.67,0.1,0.35,17.8,9,4,4,24.7,21.6,0.1,2.3,1.4
Real Salt Lake,28,17,20,191,67,35.1,11.24,3.94,0.1,0.28,14.9,6,1,1,22.7,21.9,0.12,-2.7,-2.9
San Jose,24,16,25,210,66,31.4,13.12,4.12,0.1,0.33,18.1,5,3,3,20.7,18.4,0.09,4.3,3.6
Seattle,26,16,23,190,70,36.8,11.87,4.37,0.1,0.27,16.7,5,4,4,22.5,19.7,0.11,0.5,-0.7
Sporting KC,21,18,15,184,51,27.7,10.22,2.83,0.08,0.27,18.1,12,1,1,15.5,14.8,0.08,-0.5,-0.8
Toronto FC,26,17,23,162,68,42,9.53,4,0.14,0.32,16.3,2,1,2,18.7,17.2,0.11,4.3,4.8
Vancouver,28,17,18,179,46,25.7,10.53,2.71,0.08,0.3,16.8,4,4,5,19.9,16.1,0.09,-1.9,-2.1
,,,,,,,,,,,,,,,,,,,
