Squad,# Pl,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
vs Atlanta Utd,29,16,24,199,52,26.1,12.44,3.25,0.11,0.42,16.3,2,2,2,22.4,20.9,0.11,1.6,1.1
vs Austin FC,24,17,20,212,75,35.4,12.47,4.41,0.08,0.24,16.5,6,2,3,26.3,24.1,0.12,-6.3,-6.1
vs CF Montr̩al,24,17,28,161,63,39.1,9.47,3.71,0.16,0.41,16.9,8,2,2,18.4,16.9,0.11,9.6,9.1
vs Charlotte FC,28,18,22,218,74,33.9,12.11,4.11,0.09,0.26,16.9,4,3,3,22.2,19.9,0.09,-0.2,-0.9
vs Chicago Fire,23,17,21,187,48,25.7,11,2.82,0.09,0.35,17.4,8,4,4,22.2,19.1,0.1,-1.2,-2.1
vs Colorado Rapids,25,16,21,189,63,33.3,11.81,3.94,0.1,0.29,17.9,12,3,3,20.1,17.8,0.1,0.9,0.2
vs Columbus Crew,25,16,17,177,62,35,11.06,3.87,0.09,0.26,16,1,1,1,19.5,18.7,0.11,-2.5,-2.7
vs D.C. United,29,15,26,190,78,41.1,12.67,5.2,0.13,0.32,15.6,6,1,1,20.9,20.2,0.11,5.1,4.8
vs FC Cincinnati,26,17,29,227,75,33,13.35,4.41,0.11,0.35,16.9,10,3,5,25.7,22.3,0.1,3.3,3.7
vs FC Dallas,22,17,20,187,56,29.9,11,3.29,0.09,0.3,17.3,9,3,3,19.1,16.9,0.09,0.9,0.1
vs Houston Dynamo,23,17,21,239,75,31.4,14.06,4.41,0.08,0.25,16.2,9,2,2,24.4,22.9,0.1,-3.4,-3.9
vs Inter Miami,27,16,25,223,79,35.4,13.94,4.94,0.1,0.29,17.3,10,2,3,23.7,21.4,0.1,1.3,1.6
vs LA Galaxy,21,16,19,169,58,34.3,10.56,3.62,0.11,0.31,17.3,7,1,1,20.8,20,0.12,-1.8,-2
vs Los Angeles FC,25,17,17,177,50,28.2,10.41,2.94,0.08,0.3,17.7,9,2,2,18.7,17.2,0.1,-1.7,-2.2
vs Minnesota Utd,22,17,20,245,83,33.9,14.41,4.88,0.07,0.2,16.7,12,3,4,27.9,24.9,0.1,-7.9,-7.9
vs Nashville,21,17,19,207,66,31.9,12.18,3.88,0.08,0.26,18.1,9,2,2,18.1,16.7,0.08,0.9,0.3
vs New England,27,17,25,210,70,33.3,12.35,4.12,0.11,0.34,17.9,8,1,1,20.2,19.4,0.09,4.8,4.6
vs NY Red Bulls,23,18,20,155,58,37.4,8.61,3.22,0.12,0.33,15.6,6,1,1,24,23.3,0.16,-4,-4.3
vs NYCFC,22,16,16,166,54,32.5,10.37,3.38,0.1,0.3,15.7,3,0,0,19.5,19.5,0.12,-3.5,-3.5
vs Orlando City,24,17,23,213,67,31.5,12.53,3.94,0.09,0.28,18.1,8,4,4,24.2,21.3,0.11,-1.2,-2.3
vs Philadelphia,20,17,13,229,63,27.5,13.47,3.71,0.04,0.16,18.2,10,3,3,18.9,16.6,0.07,-5.9,-6.6
vs Portland Timbers,26,18,26,268,83,31,14.89,4.61,0.09,0.3,16.7,17,1,2,26.1,24.6,0.09,-0.1,0.4
vs Real Salt Lake,28,17,19,201,79,39.3,11.82,4.65,0.08,0.2,18,6,3,3,22,19.7,0.1,-3,-3.7
vs San Jose,24,16,34,207,89,43,12.94,5.56,0.14,0.34,16.2,9,4,4,29.9,26.9,0.13,4.1,3.1
vs Seattle,26,16,19,228,66,28.9,14.25,4.12,0.07,0.26,16.6,6,2,2,23.5,21.9,0.1,-4.5,-4.9
vs Sporting KC,21,18,32,207,68,32.9,11.5,3.78,0.14,0.44,16.9,8,2,3,26.7,24.4,0.12,5.3,5.6
vs Toronto FC,26,17,32,264,97,36.7,15.53,5.71,0.12,0.32,16.3,7,1,1,35.1,34.3,0.13,-3.1,-3.3
vs Vancouver,28,17,28,237,72,30.4,13.94,4.24,0.11,0.36,17.3,7,2,3,25.8,23.7,0.1,2.2,2.3
,,,,,,,,,,,,,,,,,,,
