Squad,# Pl,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att,Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist
Atlanta Utd,3,16,22,2,0,7,0,21.10,0.37,-2.90,-0.18,87,163,53.40,486,77,26.30,30.60,104,33.70,31.70,114,10,8.80,4,0.25,12.70
Austin FC,2,17,20,2,0,2,0,24.40,0.29,4.40,0.26,103,260,39.60,581,77,30.60,32.80,143,57.30,45.80,129,13,10.10,21,1.24,15.00
CF Montr̩al,1,17,29,2,1,6,1,23.90,0.35,-4.10,-0.24,63,130,48.50,348,70,24.40,28.20,123,36.60,30.70,108,8,7.40,7,0.41,13.70
Charlotte FC,2,18,22,3,0,2,0,23.10,0.28,1.10,0.06,107,267,40.10,618,79,35.10,33.90,108,46.30,42.40,149,15,10.10,8,0.44,14.10
Chicago Fire,1,17,22,4,0,2,1,19.70,0.34,-1.30,-0.08,101,243,41.60,329,56,45.30,38.50,131,71.80,49.10,137,9,6.60,7,0.41,13.30
Colorado Rapids,2,16,21,3,0,2,0,20.10,0.29,-0.90,-0.05,88,202,43.60,344,58,45.10,38.90,118,39.80,34.80,115,6,5.20,13,0.81,15.70
Columbus Crew,1,16,16,1,0,3,1,19.20,0.30,2.20,0.14,66,216,30.60,300,49,47.00,38.50,120,62.50,46.40,138,3,2.20,5,0.31,12.20
D.C. United,3,15,27,1,1,9,1,20.80,0.25,-5.20,-0.35,58,165,35.20,279,71,39.40,36.60,109,50.50,41.20,135,6,4.40,9,0.60,15.10
FC Cincinnati,2,17,30,3,1,6,1,28.20,0.32,-0.80,-0.05,99,252,39.30,288,72,51.40,41.70,148,70.30,51.00,166,12,7.20,9,0.53,12.60
FC Dallas,2,17,20,3,1,1,0,19.20,0.30,-0.80,-0.05,57,228,25.00,376,56,41.20,35.90,132,55.30,43.50,158,10,6.30,10,0.59,13.80
Houston Dynamo,2,17,21,2,0,4,0,23.70,0.30,2.70,0.16,91,222,41.00,495,88,29.30,31.30,147,52.40,42.10,161,5,3.10,10,0.59,12.00
Inter Miami,3,16,25,2,1,2,0,27.90,0.33,2.90,0.18,79,235,33.60,414,83,40.30,36.90,146,46.60,41.00,163,6,3.70,3,0.19,12.10
LA Galaxy,1,16,19,1,1,2,0,18.40,0.31,-0.60,-0.04,93,205,45.40,470,85,31.30,31.40,105,55.20,43.10,126,9,7.10,19,1.19,17.00
Los Angeles FC,2,17,18,2,1,3,1,16.20,0.28,-0.80,-0.05,100,207,48.30,398,94,38.40,35.60,115,47.00,40.10,138,18,13.00,21,1.24,15.10
Minnesota Utd,2,17,21,3,1,3,1,25.10,0.27,5.10,0.30,89,281,31.70,375,72,50.10,41.40,134,69.40,49.80,175,7,4.00,9,0.53,13.60
Nashville,2,17,17,2,3,3,0,15.80,0.21,-3.20,-0.19,130,288,45.10,384,74,51.80,40.10,142,62.70,48.90,128,13,10.20,2,0.12,12.60
New England,4,17,26,1,1,2,1,25.30,0.35,0.30,0.02,63,152,41.40,366,102,29.50,33.60,106,41.50,38.80,130,13,10.00,9,0.53,12.50
NY Red Bulls,2,18,20,1,0,2,0,19.80,0.33,-0.20,-0.01,82,275,29.80,377,66,53.80,43.00,100,72.00,53.80,113,11,9.70,38,2.11,19.20
NYCFC,1,16,17,0,0,1,1,20.10,0.37,4.10,0.25,86,196,43.90,512,72,28.10,31.90,102,51.00,40.90,108,7,6.50,5,0.31,12.80
Orlando City,2,17,23,4,0,2,0,21.80,0.28,-1.20,-0.07,81,163,49.70,268,46,38.80,34.20,137,43.10,34.90,151,11,7.30,9,0.53,14.50
Philadelphia,1,17,13,3,0,2,0,15.00,0.20,2.00,0.12,118,304,38.80,347,62,53.90,42.00,151,77.50,54.50,179,16,8.90,15,0.88,14.10
Portland Timbers,2,18,27,1,1,2,1,28.80,0.33,2.80,0.16,62,238,26.10,337,73,43.90,39.70,158,57.00,46.40,217,12,5.50,7,0.39,12.00
Real Salt Lake,1,17,19,3,0,3,0,21.30,0.24,2.30,0.14,142,409,34.70,460,60,65.40,49.40,133,81.20,60.40,152,24,15.80,19,1.12,15.50
San Jose,1,16,34,4,1,8,0,31.40,0.31,-2.60,-0.16,82,203,40.40,401,96,37.20,36.60,110,49.10,40.30,102,10,9.80,13,0.81,15.20
Seattle,2,16,19,2,1,1,0,21.40,0.31,2.40,0.15,95,216,44.00,408,65,35.00,34.10,175,41.70,36.70,129,3,2.30,8,0.50,13.70
Sporting KC,1,18,32,2,1,1,0,25.80,0.35,-6.20,-0.35,82,226,36.30,393,62,39.70,38.10,133,52.60,43.40,144,7,4.90,9,0.50,15.20
Toronto FC,2,17,32,1,0,5,0,34.50,0.35,2.50,0.15,91,324,28.10,503,104,46.90,38.60,173,50.90,41.80,169,6,3.60,21,1.24,15.50
Vancouver,3,17,28,2,0,2,0,23.80,0.31,-4.20,-0.24,101,241,41.90,283,64,51.20,41.50,125,76.80,52.90,157,13,8.30,9,0.53,12.90
