Squad,# Pl,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att,Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist
vs Atlanta Utd,3,16,22,1,1,3,0,24.20,0.27,0.20,0.02,114,277,41.20,356,79,51.40,40.70,137,68.60,49.20,158,8,5.10,10,0.63,13.80
vs Austin FC,2,17,32,2,0,6,1,23.50,0.36,-7.50,-0.44,97,267,36.30,419,65,44.90,39.00,138,57.20,45.90,156,10,6.40,10,0.59,14.90
vs CF Montr̩al,1,17,32,2,0,4,0,26.30,0.34,-5.70,-0.34,107,256,41.80,402,70,44.00,37.60,122,64.80,47.40,123,14,11.40,10,0.59,15.70
vs Charlotte FC,2,18,17,1,1,2,0,20.10,0.27,3.10,0.17,75,178,42.10,355,80,33.80,34.40,141,41.10,36.80,157,11,7.00,13,0.72,15.30
vs Chicago Fire,1,17,15,2,0,4,0,16.40,0.24,1.40,0.09,62,203,30.50,482,80,32.20,33.10,136,35.30,35.60,167,8,4.80,8,0.47,13.30
vs Colorado Rapids,2,16,17,2,2,2,0,19.10,0.27,2.10,0.13,80,265,30.20,417,40,43.20,38.30,145,58.60,44.80,129,11,8.50,10,0.63,15.00
vs Columbus Crew,1,16,20,0,2,4,0,17.00,0.30,-3.00,-0.19,105,220,47.70,407,61,37.60,35.80,124,54.00,44.70,131,10,7.60,10,0.63,14.80
vs D.C. United,3,15,18,2,0,3,0,17.70,0.36,-0.30,-0.02,76,277,27.40,393,76,48.10,40.60,124,71.00,52.60,134,5,3.70,18,1.20,14.60
vs FC Cincinnati,2,17,27,2,0,3,2,24.50,0.28,-0.50,-0.03,82,208,39.40,445,90,34.40,33.60,144,38.20,34.50,123,11,8.90,12,0.71,14.40
vs FC Dallas,2,17,27,1,2,1,0,24.80,0.36,-2.20,-0.13,104,253,41.10,410,54,42.00,35.60,140,57.90,42.70,97,6,6.20,16,0.94,15.20
vs Houston Dynamo,2,17,21,2,0,3,0,20.80,0.28,-0.20,-0.01,70,166,42.20,360,82,30.80,33.80,108,50.90,41.60,150,21,14.00,13,0.76,13.70
vs Inter Miami,3,16,17,2,0,1,0,19.00,0.26,2.00,0.12,59,123,48.00,354,79,23.40,29.10,104,38.50,36.50,107,9,8.40,10,0.63,13.90
vs LA Galaxy,1,16,20,2,1,2,1,24.70,0.31,5.70,0.36,88,233,37.80,378,59,43.10,38.30,140,50.00,43.90,144,10,6.90,9,0.56,13.00
vs Los Angeles FC,2,17,33,3,1,5,0,30.60,0.29,-4.40,-0.26,108,264,40.90,354,72,48.60,39.70,150,61.30,45.00,130,7,5.40,8,0.47,12.50
vs Minnesota Utd,2,17,20,2,0,4,0,23.00,0.30,3.00,0.18,95,219,43.40,402,82,39.60,35.70,119,50.40,40.60,117,6,5.10,9,0.53,12.80
vs Nashville,2,17,20,1,0,1,0,24.60,0.33,2.60,0.15,80,220,36.40,364,63,41.80,37.20,103,66.00,47.90,168,11,6.50,17,1.00,16.80
vs New England,4,17,27,4,1,2,0,24.30,0.30,-2.70,-0.16,112,306,36.60,387,65,50.90,41.20,153,71.20,53.30,219,17,7.80,7,0.41,12.80
vs NY Red Bulls,2,18,28,4,0,6,2,28.80,0.31,2.80,0.15,98,316,31.00,507,73,44.00,38.40,141,66.00,48.00,161,6,3.70,21,1.17,15.20
vs NYCFC,1,16,31,5,0,6,0,33.00,0.32,2.00,0.12,104,306,34.00,377,84,54.10,44.00,152,67.10,52.70,161,6,3.70,7,0.44,13.60
vs Orlando City,2,17,20,0,0,3,0,19.70,0.31,-0.30,-0.02,76,188,40.40,350,71,32.00,33.40,122,62.30,45.30,154,9,5.80,8,0.47,12.60
vs Philadelphia,1,17,22,2,0,1,1,26.90,0.34,5.90,0.35,83,202,41.10,421,103,34.40,35.30,117,48.70,39.00,133,20,15.00,15,0.88,13.50
vs Portland Timbers,2,18,27,4,1,3,0,21.10,0.28,-5.90,-0.33,90,247,36.40,396,87,41.70,38.00,132,62.10,46.60,141,12,8.50,12,0.67,14.60
vs Real Salt Lake,1,17,20,1,0,4,0,22.90,0.33,2.90,0.17,76,155,49.00,424,105,25.70,29.10,127,36.20,34.80,164,14,8.50,12,0.71,14.60
vs San Jose,1,16,25,3,1,6,0,25.60,0.35,0.60,0.04,97,253,38.30,342,50,46.20,39.00,128,74.20,54.10,127,9,7.10,4,0.25,12.30
vs Seattle,2,16,24,4,0,1,1,22.40,0.28,-0.60,-0.04,95,226,42.00,381,68,41.20,36.00,131,52.70,41.50,151,8,5.30,10,0.63,15.50
vs Sporting KC,1,18,16,1,2,1,1,13.70,0.26,-1.30,-0.07,112,306,36.60,476,66,48.10,39.80,126,61.10,47.70,145,7,4.80,11,0.61,14.20
vs Toronto FC,2,17,24,1,0,5,1,21.30,0.30,-1.70,-0.10,93,203,45.80,338,54,43.80,37.90,100,55.00,41.80,100,6,6.00,10,0.59,14.90
vs Vancouver,3,17,18,4,1,2,0,19.80,0.33,1.80,0.11,58,174,33.30,443,75,29.80,32.20,124,33.90,32.50,144,11,7.60,19,1.12,16.60
