Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90,Last 5,Attendance,Top Team Scorer,Goalkeeper,Notes
1,Los Angeles FC,17,11,3,3,35,18,17,36,2.12,30.60,18.70,11.90,0.7,W W D W W,22040,"Carlos Vela, Cristian Arango - 6",Maxime CrÃ©peau,
2,Austin FC,17,9,4,4,32,20,12,31,1.82,25.20,26.30,-1.10,-0.07,D L W D W,20738,SebastiÃ¡n Driussi - 9,Brad Stuver,
3,Real Salt Lake,17,8,5,4,20,19,1,29,1.71,22.70,22.00,0.70,0.04,W W L W D,20300,"Sergio CÃ³rdova, Justen Glad... - 3",Zac MacMath,
4,FC Dallas,17,7,5,5,27,20,7,26,1.53,24.80,19.10,5.70,0.34,L W L D L,16242,Jesus Ferreira - 10,Maarten Paes,
5,Nashville,17,7,5,5,22,19,3,26,1.53,22.70,18.10,4.50,0.27,D W D L W,28731,Hany Mukhtar - 8,Joe Willis,
6,LA Galaxy,16,7,3,6,20,19,1,24,1.50,27.00,20.80,6.20,0.39,D L W D L,23336,Javier HernÃ¡ndez - 6,Jonathan Bond,
7,Seattle,16,7,2,7,24,19,5,23,1.44,22.50,23.50,-0.90,-0.06,W W D W L,32475,"RaÃºl RuidÃ­az, Jordan Morris - 5",Stefan Frei,
8,Portland Timbers,18,5,7,6,27,27,0,22,1.22,24.70,26.10,-1.40,-0.08,L L D W W,23341,"JarosÅ‚aw Niezgoda, Bill Tuiloma - 5",AljaÅ¾ IvaÄiÄ,
9,Houston Dynamo,17,6,3,8,21,21,0,21,1.24,21.90,24.40,-2.50,-0.15,W L L W L,14907,Darwin Quintero - 7,Steve Clark,
10,Minnesota Utd,17,6,3,8,20,21,-1,21,1.24,21.00,27.90,-6.90,-0.41,W L L L W,19337,Robin Lod - 6,Dayne St. Clair,
11,Vancouver,17,6,3,8,18,28,-10,21,1.24,19.90,25.80,-5.90,-0.35,W W L W D,16240,Lucas Cavallini - 5,Thomas Hasal,
12,Colorado Rapids,16,5,4,7,17,21,-4,19,1.19,23.20,20.10,3.10,0.19,L W L D L,13864,Diego Rubio - 7,William Yarbrough,
13,Sporting KC,18,4,4,10,16,32,-16,16,0.89,15.50,26.70,-11.20,-0.62,D L L W L,18474,Johnny Russell - 5,Tim Melia,
14,San Jose,16,3,6,7,25,34,-9,15,0.94,20.70,29.90,-9.30,-0.58,W D L D L,13132,Jeremy Ebobisse - 9,J.T. Marcinkowski,
