,squad_id,GF,GA_x,Pts,xG_x,xGA,xGD,# Pl,Cmp_x,Att_x,TotDist_x,PrgDist_x,Cmp.1,Att.1_x,Cmp.2,Att.2_x,Cmp.3,Att.3,Ast,xA,3-Jan_x,PPA,CrsPA,Prog_x,SCA,PassLive,PassDead,Drib,Sh_x,Fld_x,Def,GCA,PassLive.1,PassDead.1,Drib.1,Sh.1,Fld.1,Def.1,Gls,Sh_y,SoT,Dist,FK_x,PK,PKatt_x,xG_y,npxG,Tkl,TklW_x,Def 3rd_x,Mid 3rd_x,Att 3rd_x,Tkl.1,Att_y,Past,Press,Succ_x,Def 3rd.1,Mid 3rd.1,Att 3rd.1,Blocks,Sh,ShSv,Pass,Int_x,Clr,Err,Poss,Def Pen,Def 3rd_y,Mid 3rd_y,Att 3rd_y,Att Pen,Live,Succ_y,Att_x,#Pl,Megs,Carries,TotDist_y,PrgDist_y,Prog_y,3-Jan_y,CPA,Mis,Dis,Targ,Rec,Prog.1,GA_y,SoTA,Saves,CS,PKatt_y,PKA_x,PKsv,PKm,Save%.1,GA,PKA_y,FK_y,CK,OG_x,PSxG,PSxG+/-,/90,Cmp_y,Att_y,Att.1_y,Thr,Launch%,AvgLen,Att.2_y,Launch%.1,AvgLen.1,Opp,Stp,#OPA,AvgDist,CrdY,CrdR,2CrdY,Fls,Fld_y,Off,Crs,Int_y,TklW_y,PKwon,PKcon,OG_y,Recov,Won,Lost
0,1,28,20,29,28.7,24.0,4.7,23,4767,6857,96341,38637,1822,2254,2107,2635,746,1663,15,18.2,446,149,33,584,367,249,39,18,17,29,15,40,25,3,2,4,4,2,26,255,81,17.6,12,4,5,28.7,24.9,429,265,156,203,70,166,410,244,3634,1153,908,1654,1072,268,43,1,225,319,341,5,44.2,856,2816,4132,2732,492,8312,130,280,150,21,5023,26810,14667,616,205,79,235,199,5985,4767,584,20,58,38,4,1,1,0,0,0.0,20,1,0,2,0,19.8,-0.2,-0.01,82,275,377,66,53.8,43.0,100,72.0,53.8,113,11,38,19.2,50,2,2,298,226,28,225,319,265,3,1,0,1820,379,380
1,2,22,13,29,26.4,18.9,7.5,20,4397,6268,91783,40600,1690,2085,1799,2318,809,1580,17,18.3,385,134,47,506,290,203,34,9,13,22,9,33,25,1,1,2,1,3,21,196,73,15.8,11,2,2,26.4,24.9,365,207,177,141,47,118,278,160,2988,837,893,1358,737,304,74,1,230,280,394,4,40.8,1127,2991,3589,2256,401,7590,88,194,105,17,4379,24597,12670,427,150,53,234,134,5393,4397,506,13,63,52,6,3,3,0,0,0.0,13,3,0,2,0,15.0,2.0,0.12,118,304,347,62,53.9,42.0,151,77.5,54.5,179,16,15,14.1,41,2,2,269,190,26,179,280,207,1,3,0,1486,365,361
2,3,31,17,28,31.8,19.5,12.3,22,7420,9026,146285,51094,2841,3208,3407,3891,1074,1640,20,20.6,512,177,40,691,395,286,41,18,26,13,11,51,31,4,2,7,3,4,31,248,87,15.9,5,5,6,31.8,27.3,300,185,157,98,45,110,243,133,2421,763,843,1001,577,240,45,0,195,262,278,3,59.3,1223,4024,4726,2876,510,10235,150,279,164,19,7333,34077,18575,696,209,90,218,209,8361,7420,691,17,54,37,8,0,0,0,0,,17,0,0,1,1,20.1,4.1,0.25,86,196,512,72,28.1,31.9,102,51.0,40.9,108,7,5,12.8,39,1,1,230,219,27,225,262,185,2,0,1,1430,276,241
3,4,20,23,25,19.7,24.2,-4.5,24,6449,7917,123356,44462,2696,2996,2768,3223,875,1429,17,15.0,522,126,23,608,293,212,30,11,19,15,6,32,20,4,1,5,1,1,20,185,63,16.7,6,0,0,19.7,19.7,297,183,160,86,51,126,269,143,2681,713,878,1190,613,232,58,0,174,229,331,3,49.3,1056,3304,4519,2605,338,9060,107,231,125,16,6294,31155,16113,582,180,39,216,192,7354,6449,608,23,67,47,6,4,4,0,0,0.0,23,4,0,2,0,21.8,-1.2,-0.07,81,163,268,46,38.8,34.2,137,43.1,34.9,151,11,9,14.5,43,3,2,230,296,23,199,229,183,0,3,0,1196,232,217
4,5,27,30,24,27.3,25.7,1.6,26,5518,7224,109166,41853,2279,2678,2248,2671,880,1571,20,18.9,488,132,33,543,349,275,26,14,10,14,10,43,34,1,2,3,2,1,25,221,81,16.8,1,2,3,27.3,25.1,344,212,184,114,46,107,279,172,2816,829,989,1181,646,296,62,2,234,294,339,1,45.2,1052,3028,4251,2548,361,8518,125,243,133,20,5412,27150,14063,573,190,63,213,186,6400,5518,543,30,75,49,4,5,3,2,0,40.0,30,3,1,6,1,28.2,-0.8,-0.05,99,252,288,72,51.4,41.7,148,70.3,51.0,166,12,9,12.6,43,1,1,235,205,30,171,294,212,3,5,1,1403,263,255
5,6,27,26,24,22.8,20.2,2.6,27,7574,9192,155249,50224,2738,3088,3425,3901,1303,1895,20,15.3,583,184,71,656,360,275,34,14,18,16,3,44,33,2,2,2,5,0,27,228,70,15.7,6,4,4,22.8,19.7,251,162,120,95,36,120,248,128,2242,656,725,965,552,230,75,0,155,230,330,3,55.1,1065,3650,5094,2969,460,10274,137,244,149,15,7285,37431,19234,726,233,66,228,174,8430,7574,656,26,70,45,3,1,1,0,0,0.0,26,1,1,2,1,25.3,0.3,0.02,63,152,366,102,29.5,33.6,106,41.5,38.8,130,13,9,12.5,39,1,1,192,217,20,282,230,162,3,1,1,1356,258,228
6,7,17,25,21,19.0,23.7,-4.6,27,5588,6956,114180,38052,2114,2388,2453,2791,950,1577,12,14.6,374,107,27,396,313,236,23,19,9,16,10,28,23,1,0,2,2,0,17,189,66,18.8,7,2,2,19.0,17.5,308,192,175,100,33,107,276,169,2293,637,894,989,410,218,61,1,157,281,350,5,45.9,1285,3711,3621,2059,308,8107,137,255,153,25,5524,28771,15597,522,177,65,208,152,6492,5588,396,25,79,56,4,3,2,0,1,0.0,25,2,1,2,0,27.9,2.9,0.18,79,235,414,83,40.3,36.9,146,46.6,41.0,163,6,3,12.1,45,4,3,211,185,22,152,281,192,2,3,0,1087,182,212
7,8,20,18,21,21.9,19.5,2.5,25,6421,7953,127560,42436,2419,2723,2902,3341,980,1612,13,16.7,480,151,26,570,311,230,21,19,13,16,12,32,22,2,3,3,2,0,20,204,56,17.4,11,0,0,21.9,21.9,271,171,131,109,31,96,229,133,2205,648,681,1011,513,205,48,1,157,290,250,4,49.2,1078,3210,4466,2788,438,9042,167,296,183,20,6698,34564,17312,709,254,70,237,193,7242,6421,570,16,62,45,4,1,1,0,0,0.0,16,1,0,3,1,19.2,2.2,0.14,66,216,300,49,47.0,38.5,120,62.5,46.4,138,3,5,12.2,28,0,0,193,245,28,201,290,171,0,1,1,1331,224,287
8,9,17,22,20,19.8,22.2,-2.3,28,7370,9166,149843,48255,2619,2959,3506,3977,1131,1903,11,13.9,502,125,31,527,304,215,34,14,26,14,1,26,20,2,0,2,2,0,17,202,73,17.6,8,1,1,19.8,19.1,312,178,145,125,42,126,255,129,2801,805,862,1279,660,252,63,0,189,282,298,5,54.0,1406,4238,4993,2556,355,10263,128,238,144,11,7139,36729,18075,624,192,51,251,195,8442,7370,527,22,74,55,5,3,3,0,0,0.0,22,3,0,2,0,23.1,1.1,0.06,107,267,618,79,35.1,33.9,108,46.3,42.4,149,15,8,14.1,32,0,0,228,199,20,219,282,178,1,3,0,1423,248,276
9,10,24,24,19,24.4,22.4,2.0,29,7387,8817,147222,47051,2787,3104,3327,3737,1150,1692,14,17.8,559,152,36,603,406,294,39,14,23,27,9,34,24,1,2,4,2,1,24,249,84,17.3,14,1,2,24.4,23.3,274,168,139,94,41,109,233,124,2142,651,670,923,549,236,63,1,173,260,215,3,59.1,1097,3597,5105,2656,430,9886,132,250,141,13,7388,39111,20582,789,252,74,228,193,8241,7387,603,22,52,30,3,2,2,0,0,0.0,22,2,0,7,0,21.1,-2.9,-0.18,87,163,486,77,26.3,30.6,104,33.7,31.7,114,10,4,12.7,34,3,1,181,219,32,219,260,168,1,2,0,1261,214,200
