,PlayerId,90s,Tkl,TklW_x,Def 3rd_x,Mid 3rd_x,Att 3rd_x,Tklvsdribble,Att_x,Tkl%,Past,Press,Succ_x,%,Def 3rd.1,Mid 3rd.1,Att 3rd.1,Blocks,Sh_x,ShSv,Pass,Int_x,Tkl+Int,Clr,Err,SCA,SCA90,PassLive,PassDead,Drib,Sh_y,Fld_x,Def,GCA,GCA90,PassLive.1,PassDead.1,Drib.1,Sh.1,Fld.1,Def.1,CrdY,CrdR,2CrdY,Fls,Fld_y,Off,Crs,Int_y,TklW_y,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Cmp,Att_y,Cmp%,TotDist_x,PrgDist_x,Cmp.1,Att.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,Ast,xA,A-xA,KP,1/3_x,PPA,CrsPA,Prog_x,Touches,Def Pen,Def 3rd_y,Mid 3rd_y,Att 3rd_y,Att Pen,Live,Succ_y,Att,Succ%,#Pl,Megs,Carries,TotDist_y,PrgDist_y,Prog_y,1/3_y,CPA,Mis,Dis,Targ,Rec,Rec%,Prog.1,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,MP,Min,Mn/MP,Min%,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off.1
0,1,2.1,7.0,5,3.0,3.0,1.0,3.0,5.0,60.0,2.0,84.0,25.0,29.8,15.0,38.0,31.0,2.0,0.0,0.0,2.0,2,9.0,0.0,0.0,4.0,1.89,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,7,8,1,2,2,5,0.0,0.0,0,18.0,3.0,4.0,42.9,44.0,55.0,80.0,644.0,166.0,25.0,28.0,89.3,17.0,20.0,85.0,1.0,3.0,33.3,0,0.5,-0.5,1.0,3.0,1.0,0.0,5.0,91.0,1.0,11.0,43.0,50.0,9.0,91.0,2.0,6.0,33.3,3.0,0.0,63.0,533.0,291.0,11.0,9.0,2.0,5.0,6.0,78.0,55.0,70.5,12.0,0,2,0,0.0,0.95,0.0,0.0,,18.0,0.0,0,0,0.1,0.1,0.04,-0.1,-0.1,9,190.0,21.0,12.4,1,75.0,0,8,14.0,5,1.78,0.0,1.0,-1.0,-0.47,-1.15,1.7,3.6,-1.9,-0.9,-1.54
1,2,14.0,21.0,14,13.0,8.0,0.0,6.0,11.0,54.5,5.0,120.0,40.0,33.3,57.0,58.0,5.0,34.0,16.0,2.0,18.0,32,53.0,60.0,0.0,10.0,0.71,9.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0,0,26,6,0,2,32,14,0.0,1.0,0,128.0,51.0,24.0,68.0,574.0,668.0,85.9,11558.0,4050.0,195.0,211.0,92.4,297.0,325.0,91.4,80.0,123.0,65.0,0,0.1,-0.1,2.0,36.0,3.0,1.0,32.0,822.0,138.0,447.0,369.0,34.0,13.0,808.0,3.0,5.0,60.0,3.0,1.0,506.0,1956.0,1040.0,28.0,4.0,0.0,4.0,2.0,525.0,517.0,98.5,4.0,1,8,1,12.5,0.57,0.07,0.13,1.0,9.2,0.0,0,0,1.1,1.1,0.14,-0.1,-0.1,15,1264.0,84.0,87.8,15,84.0,12,0,,0,1.27,15.0,16.0,-1.0,-0.07,1.46,20.2,14.3,5.9,0.42,1.86
2,3,11.5,40.0,21,20.0,11.0,9.0,24.0,40.0,60.0,16.0,241.0,87.0,36.1,103.0,102.0,36.0,22.0,0.0,0.0,22.0,37,77.0,13.0,0.0,10.0,0.87,7.0,3.0,0.0,0.0,0.0,0.0,1.0,0.09,1.0,0.0,0.0,0.0,0.0,0.0,4,0,0,20,14,1,18,37,21,0.0,0.0,0,129.0,18.0,8.0,69.2,623.0,753.0,82.7,11972.0,3992.0,230.0,254.0,90.6,308.0,340.0,90.6,80.0,136.0,58.8,0,0.3,-0.3,6.0,42.0,10.0,1.0,63.0,882.0,38.0,295.0,457.0,192.0,11.0,830.0,8.0,14.0,57.1,8.0,1.0,580.0,2741.0,1579.0,56.0,21.0,3.0,7.0,10.0,596.0,571.0,95.8,20.0,0,11,1,9.1,0.96,0.09,0.0,0.0,28.2,0.0,0,0,0.3,0.3,0.03,-0.3,-0.3,15,1034.0,69.0,71.8,12,78.0,5,3,34.0,0,1.8,18.0,10.0,8.0,0.7,-0.63,20.8,12.6,8.2,0.71,-0.21
3,4,2.6,5.0,4,1.0,4.0,0.0,2.0,5.0,40.0,3.0,89.0,27.0,30.3,18.0,46.0,25.0,3.0,0.0,0.0,3.0,7,12.0,2.0,0.0,4.0,1.51,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,5,3,0,4,7,4,0.0,0.0,0,21.0,6.0,8.0,42.9,83.0,104.0,79.8,1126.0,219.0,51.0,61.0,83.6,24.0,29.0,82.8,3.0,5.0,60.0,0,0.1,-0.1,2.0,3.0,2.0,1.0,6.0,147.0,3.0,20.0,60.0,73.0,17.0,146.0,2.0,9.0,22.2,2.0,0.0,96.0,394.0,178.0,13.0,3.0,2.0,5.0,3.0,145.0,103.0,71.0,34.0,0,5,4,80.0,1.89,1.51,0.0,0.0,15.7,0.0,0,0,0.3,0.3,0.07,-0.3,-0.3,7,238.0,34.0,15.6,0,,0,7,34.0,6,0.71,4.0,2.0,2.0,0.76,1.45,3.4,3.7,-0.3,-0.12,1.0
4,5,7.6,18.0,14,9.0,9.0,0.0,3.0,10.0,30.0,7.0,125.0,36.0,28.8,41.0,73.0,11.0,5.0,3.0,0.0,2.0,10,28.0,14.0,0.0,18.0,2.35,11.0,7.0,0.0,0.0,0.0,0.0,1.0,0.13,1.0,0.0,0.0,0.0,0.0,0.0,5,0,0,22,10,0,6,10,14,0.0,0.0,0,62.0,10.0,3.0,76.9,293.0,347.0,84.4,6545.0,1772.0,99.0,106.0,93.4,122.0,142.0,85.9,68.0,92.0,73.9,0,0.4,-0.4,10.0,30.0,3.0,0.0,29.0,408.0,24.0,106.0,252.0,72.0,7.0,376.0,2.0,5.0,40.0,3.0,0.0,260.0,1079.0,448.0,14.0,3.0,0.0,4.0,8.0,277.0,255.0,92.1,13.0,0,5,0,0.0,0.65,0.0,0.0,,19.6,1.0,0,0,0.4,0.4,0.09,-0.4,-0.4,11,688.0,63.0,47.8,8,78.0,4,3,21.0,3,1.27,8.0,11.0,-3.0,-0.39,-0.27,9.7,9.3,0.4,0.05,-0.27
5,6,0.1,1.0,0,0.0,1.0,0.0,1.0,1.0,100.0,0.0,3.0,1.0,33.3,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0.0,0.0,0,1.0,0.0,0.0,,6.0,8.0,75.0,116.0,42.0,1.0,2.0,50.0,4.0,4.0,100.0,1.0,2.0,50.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,11.0,1.0,2.0,7.0,2.0,0.0,10.0,0.0,0.0,,0.0,0.0,9.0,69.0,38.0,0.0,0.0,0.0,0.0,1.0,8.0,7.0,87.5,0.0,0,1,1,100.0,12.86,12.86,0.0,0.0,22.2,0.0,0,0,0.1,0.1,0.07,-0.1,-0.1,1,7.0,7.0,0.5,0,,0,1,7.0,4,0.0,0.0,1.0,-1.0,-12.86,-12.42,0.2,0.1,0.0,0.51,0.8
6,7,14.2,17.0,10,7.0,9.0,1.0,7.0,22.0,31.8,15.0,203.0,61.0,30.0,48.0,111.0,44.0,21.0,3.0,0.0,18.0,15,32.0,5.0,0.0,35.0,2.46,21.0,11.0,0.0,1.0,1.0,1.0,1.0,0.07,1.0,0.0,0.0,0.0,0.0,0.0,4,0,0,22,11,0,16,15,10,0.0,0.0,0,102.0,9.0,13.0,40.9,623.0,776.0,80.3,11189.0,3328.0,291.0,320.0,90.9,243.0,284.0,85.6,74.0,140.0,52.9,0,1.1,-1.1,17.0,51.0,19.0,0.0,83.0,896.0,17.0,160.0,436.0,356.0,19.0,778.0,7.0,18.0,38.9,8.0,2.0,544.0,2581.0,1376.0,51.0,15.0,4.0,18.0,17.0,655.0,601.0,91.8,46.0,1,18,4,22.2,1.26,0.28,0.06,0.25,22.7,4.0,0,0,0.8,0.8,0.04,0.2,0.2,17,1282.0,75.0,83.8,14,87.0,11,3,24.0,0,2.12,31.0,15.0,16.0,1.12,0.76,26.2,15.5,10.7,0.75,0.33
7,8,15.1,35.0,20,12.0,14.0,9.0,7.0,27.0,25.9,20.0,326.0,82.0,25.2,77.0,144.0,105.0,20.0,1.0,0.0,19.0,17,52.0,2.0,0.0,91.0,6.04,67.0,11.0,4.0,1.0,2.0,6.0,13.0,0.86,11.0,0.0,0.0,1.0,0.0,1.0,3,0,0,24,37,7,44,17,20,0.0,0.0,0,113.0,3.0,9.0,25.0,567.0,808.0,70.2,10189.0,3795.0,297.0,369.0,80.5,171.0,222.0,77.0,83.0,175.0,47.4,5,6.2,-1.2,50.0,64.0,36.0,6.0,93.0,1034.0,8.0,102.0,472.0,529.0,57.0,935.0,31.0,61.0,50.8,33.0,7.0,706.0,3102.0,1852.0,105.0,31.0,6.0,38.0,41.0,880.0,733.0,83.3,104.0,6,31,11,35.5,2.06,0.73,0.13,0.36,21.6,1.0,2,3,6.1,3.8,0.12,-0.1,0.2,17,1356.0,80.0,88.6,15,87.0,9,2,25.0,0,1.41,25.0,29.0,-4.0,-0.27,-0.78,24.6,23.1,1.6,0.1,0.07
8,9,3.9,18.0,11,8.0,6.0,4.0,5.0,7.0,71.4,2.0,116.0,33.0,28.4,47.0,58.0,11.0,8.0,1.0,0.0,7.0,9,27.0,3.0,0.0,1.0,0.25,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,0,9,10,0,0,9,11,0.0,0.0,0,31.0,0.0,4.0,0.0,97.0,110.0,88.2,1633.0,334.0,45.0,49.0,91.8,42.0,46.0,91.3,8.0,10.0,80.0,0,0.0,0.0,0.0,6.0,0.0,0.0,8.0,159.0,8.0,55.0,86.0,30.0,2.0,159.0,3.0,5.0,60.0,3.0,0.0,96.0,408.0,175.0,8.0,4.0,2.0,4.0,4.0,100.0,83.0,83.0,3.0,0,1,0,0.0,0.25,0.0,0.0,,24.4,0.0,0,0,0.0,0.0,0.02,0.0,0.0,8,354.0,44.0,24.6,5,63.0,1,3,13.0,6,0.88,2.0,8.0,-6.0,-1.53,-1.36,3.3,6.0,-2.7,-0.69,-0.54
9,10,0.8,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,24.0,5.0,20.8,4.0,13.0,7.0,2.0,1.0,0.0,1.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,2,0,0,2,1,0,0.0,0.0,0,7.0,2.0,2.0,50.0,10.0,16.0,62.5,172.0,8.0,4.0,6.0,66.7,6.0,9.0,66.7,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,1.0,2.0,10.0,18.0,5.0,28.0,0.0,4.0,0.0,0.0,0.0,18.0,39.0,6.0,0.0,0.0,0.0,3.0,2.0,31.0,16.0,51.6,8.0,0,1,0,0.0,1.23,0.0,0.0,,8.1,0.0,0,0,0.0,0.0,0.05,0.0,0.0,2,73.0,37.0,5.1,1,45.0,0,1,28.0,4,0.0,0.0,2.0,-2.0,-2.47,-2.93,0.1,1.2,-1.1,-1.32,-1.33
